target,feature,spearman_r,p,n
skill_era5r,era5_coverage,-0.12356772507611292,0.06250145836330245,228
skill_era5r,nbr_corr,0.21674454396561643,0.0009876274525392708,228
skill_era5r,nbr_dist_km,-0.07210542036546444,0.2782780705957818,228
skill_era5r,nbr_stable,0.35494283231901075,3.5774401945674426e-08,228
skill_era5r,rho,0.0029969311829677113,0.9641040845541314,228
skill_era5r,log_qr,-0.039508867777623656,0.5528307482483935,228
skill_era5r,coupling,0.15243913016443827,0.02130121384739153,228
skill_era5r,glaciated,-0.0025351383168067056,0.969632339637941,228
dm_era5r,abs_lat,0.07395535180023428,0.2661006796638774,228
dm_era5r,centroid_lat,0.03222207260065791,0.6283900329650787,228
dm_era5r,log10_area,0.11891843183550899,0.07311308894532487,228
dm_era5r,era5_coverage,0.11803656458538571,0.07528237700358095,228
dm_era5r,nbr_corr,-0.14975523078262065,0.023722473659744826,228
dm_era5r,nbr_dist_km,0.013954124122062891,0.8340151884218597,228
dm_era5r,nbr_stable,-0.28006037824327007,1.772519632938582e-05,228
dm_era5r,rho,-0.00022679479222458357,0.9972826466696768,228
dm_era5r,log_qr,0.007962117169884486,0.9048266150365185,228
dm_era5r,coupling,-0.07882556572852419,0.23580259213979388,228
dm_era5r,glaciated,-0.017745968217646936,0.7898491968376354,228
skill_era5c,abs_lat,-0.09514952762897183,0.15212071895610838,228
skill_era5c,centroid_lat,-0.008012741007434617,0.9042243806132418,228
skill_era5c,log10_area,-0.004363774796821228,0.9477522569483195,228
skill_era5c,era5_coverage,-0.06708670952143261,0.3131875850168873,228
skill_era5c,nbr_corr,0.0770170047593207,0.246757703142261,228
skill_era5c,nbr_dist_km,0.016733406571276553,0.8015839208118506,228
skill_era5c,nbr_stable,0.252952929867852,0.0001126934429818674,228
skill_era5c,rho,-0.0718271256696268,0.28014206906661954,228
skill_era5c,log_qr,-0.025682485265932083,0.6996972359871594,228
skill_era5c,coupling,0.033799468619702996,0.6116632106073687,228
skill_era5c,glaciated,-0.032232472885113835,0.6282791117929382,228
dm_era5c,abs_lat,0.1190530912433923,0.07278635868781039,228
dm_era5c,centroid_lat,0.04648685754553361,0.48489219335972944,228
dm_era5c,log10_area,0.0002824810135297268,0.9966154429621783,228
dm_era5c,era5_coverage,0.05215166496739319,0.43322899795704845,228
dm_era5c,nbr_corr,-0.0512319460583647,0.44139525138476404,228
dm_era5c,nbr_dist_km,-0.04022720254634166,0.5456285514021313,228
dm_era5c,nbr_stable,-0.21071922576913424,0.0013727866150593238,228
dm_era5c,rho,0.0701909632400066,0.29127115658597574,228
dm_era5c,log_qr,0.0029311201941525423,0.9648918282427481,228
dm_era5c,coupling,0.0019295451023001473,0.9768842259696752,228
dm_era5c,glaciated,0.032232472885113835,0.6282791117929382,228
