model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,skill_vs_kalman,skill_vs_own_ridge
kalman_corr_top1,3,0.9368030140609305,18696,50.0,0.0,1.0,-0.007250235861485876,-0.01160173364981576
kalman_corr_top2,3,0.942927609406153,18696,50.0,0.0,1.0,-0.020463613147904125,-0.024872195045019474
kalman_corr_min1000_top1,3,0.9473759625441067,18696,50.0,0.0,1.0,-0.030114597933209586,-0.03456487377831685
kalman_corr_top3,3,0.95181141891597,18696,50.0,0.0,1.0,-0.03978282734344818,-0.04427487163635324
kalman_own_ridge,4,0.9969605266268762,18468,,,,0.017355502484758256,0.0
kalman_geo_top1,4,0.9971153112749673,18468,50.0,8.0,0.8431372549019608,0.017050354816799174,-0.0003105371970542059
kalman_geo_top2,4,0.9977790612334101,18468,50.0,0.0,1.0,0.015741278662222857,-0.0016427343017915153
kalman_geo_top3,4,0.9980507874260506,18468,50.0,0.0,1.0,0.015205117296189563,-0.002188365369170997
kalman_corr_min500_top1,4,1.0016300767923494,18468,50.0,0.0,1.0,0.008128951486364389,-0.009389510674230994
kalman_corr_min300_top1,4,1.002512337324416,18468,50.0,0.0,1.0,0.006380852863612896,-0.011168484277779278
kalman_corr_top1,4,1.0026282538369933,18468,50.0,0.0,1.0,0.006151063122780798,-0.011402332573285046
kalman_ar1,4,1.0057261676217673,18468,,,,0.0,-0.017662035994344016
kalman_corr_top2,4,1.009098218002474,18468,50.0,0.0,1.0,-0.0067169443957086905,-0.02449761530374195
kalman_corr_min1000_top1,4,1.0151812816823882,18468,50.0,0.0,1.0,-0.01889094558212312,-0.03688663413730575
kalman_corr_top3,4,1.0190633969858909,18468,50.0,0.0,1.0,-0.0266984478467438,-0.044832032787949894
kalman_own_ridge,5,1.0678062360157128,18240,,,,0.011751181884625095,0.0
kalman_geo_top1,5,1.0678208944892138,18240,50.0,26.0,0.49019607843137253,0.011724049024645411,-2.7455494489014853e-05
kalman_geo_top2,5,1.0687429615122934,18240,50.0,1.0,0.9803921568627451,0.010016552747999952,-0.0017552554628226247
kalman_geo_top3,5,1.0691047686367565,18240,50.0,0.0,1.0,0.009346150778569928,-0.002433629124537262
kalman_corr_min500_top1,5,1.0730976327191346,18240,50.0,0.0,1.0,0.0019325972649142376,-0.009935336566792019
kalman_corr_min300_top1,5,1.0738082319504287,18240,50.0,0.0,1.0,0.0006103303429736417,-0.011273326451224586
kalman_corr_top1,5,1.0739925828287988,18240,50.0,0.0,1.0,0.0002671514159929833,-0.01162058608937433
kalman_ar1,5,1.074136070898854,18240,,,,0.0,-0.011890914179927714
kalman_corr_top2,5,1.0818128101741538,18240,50.0,0.0,1.0,-0.014344871035197437,-0.02640635884552678
kalman_corr_min1000_top1,5,1.0895061415859761,18240,50.0,0.0,1.0,-0.0288232340773682,-0.04105688286009812
kalman_corr_top3,5,1.0932173693680698,18240,50.0,0.0,1.0,-0.03584421406344007,-0.04816134871664324
kalman_ar1,6,1.1315158403692906,18012,,,,0.0,0.005347616710739689
kalman_own_ridge,6,1.1345534854424566,18012,,,,-0.005376367463229004,0.0
kalman_geo_top1,6,1.1348238357605682,18012,50.0,9.0,0.8235294117647058,-0.005855562508731316,-0.0004766324940690403
kalman_geo_top2,6,1.135952779478663,18012,50.0,0.0,1.0,-0.007857845361825433,-0.002468207905918174
kalman_geo_top3,6,1.136457789850659,18012,50.0,0.0,1.0,-0.008754171006499778,-0.003359740344597073
kalman_corr_min500_top1,6,1.1406426136531935,18012,50.0,0.0,1.0,-0.01619700069337715,-0.0107627686310654
kalman_corr_min300_top1,6,1.1415228629321958,18012,50.0,0.0,1.0,-0.017766031725364062,-0.012323409086486325
kalman_corr_top1,6,1.1417817286791885,18012,50.0,0.0,1.0,-0.0182276863200741,-0.012782594929370727
kalman_corr_top2,6,1.1511264609498895,18012,50.0,0.0,1.0,-0.034962938169561975,-0.029428353066409896
kalman_corr_min1000_top1,6,1.160355862767296,18012,50.0,0.0,1.0,-0.05162554145796605,-0.04600185113902455
kalman_corr_top3,6,1.1641088981403422,18012,50.0,0.0,1.0,-0.05843926248110165,-0.05277913499375475
