subset,model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
all_matched,lstmres_corr_top1_s1,li_lstm_full,3,13393,59,0.9663980047447667,0.9547488849920335,0.9746808046798094,-6.559345158744837,1.6047360550056407e-08
all_matched,lstmres_corr_top1_s1,li_lstm_full,4,13393,59,0.9679615492835746,0.9564358391645977,0.9768508188110978,-6.19073304239153,6.592995806484683e-08
all_matched,lstmres_corr_top1_s1,li_lstm_full,5,13393,59,0.9701165538019552,0.9555848941277685,0.9784661114154644,-5.361566974627898,1.4953151369729719e-06
all_matched,lstmres_corr_top1_s1,li_lstm_full,6,13393,59,0.9679623994377117,0.9535575792253105,0.9772962976825809,-5.750775272431338,3.4974069250288333e-07
all_matched,lstm_own_era5_ens,li_lstm_full,1,13393,59,0.9862921766147145,0.9800934984267363,0.9901413201048195,-5.714422427328418,4.009895945591845e-07
all_matched,lstm_own_era5_ens,li_lstm_full,2,13393,59,0.9769704149339732,0.9669417341381222,0.9836350317137197,-5.3937580980550885,1.3273365404425728e-06
all_matched,lstm_own_era5_ens,li_lstm_full,3,13393,59,0.9661351663737792,0.954259600839918,0.9744792438619869,-6.5569250203928044,1.619746598006372e-08
all_matched,lstm_own_era5_ens,li_lstm_full,4,13393,59,0.9674357109131085,0.9558509722524944,0.9764071959148983,-6.187553782616908,6.673499530296704e-08
all_matched,lstm_own_era5_ens,li_lstm_full,5,13393,59,0.9695645602688739,0.9547015961438802,0.9780689574210545,-5.357758553679114,1.516525093369477e-06
all_matched,lstm_own_era5_ens,li_lstm_full,6,13393,59,0.9672932142887,0.9525424963703266,0.9767526929387793,-5.746791768252114,3.5502409955381513e-07
all_matched,ridge_corr_top1_era5,li_lstm_full,1,13393,59,0.9857444133875355,0.9792989240379338,0.9897894770291329,-5.710025628912138,4.0767122009061477e-07
all_matched,ridge_corr_top1_era5,li_lstm_full,2,13393,59,0.9761022734066452,0.9655891199395961,0.9829745952519258,-5.388547411612063,1.353205473400196e-06
all_matched,ridge_corr_top1_era5,li_lstm_full,3,13393,59,0.9649725495792699,0.9526292876841953,0.9736027892442582,-6.547793209532968,1.6776550579243684e-08
all_matched,ridge_corr_top1_era5,li_lstm_full,4,13393,59,0.966658074515502,0.9548633153775002,0.9756851671441431,-6.181681217823004,6.824777727419223e-08
all_matched,ridge_corr_top1_era5,li_lstm_full,5,13393,59,0.9691457752043146,0.9538566854391235,0.97775141760172,-5.354969017698403,1.532248573452847e-06
all_matched,ridge_corr_top1_era5,li_lstm_full,6,13393,59,0.966891891950911,0.9521254798182697,0.9762605581137673,-5.747218664516026,3.544541398207239e-07
all_matched,kalman_ar1,li_lstm_full,1,13393,59,0.9850569825085258,0.978495457738423,0.9892548704914683,-5.7090098229659905,4.0923049320787486e-07
all_matched,kalman_ar1,li_lstm_full,2,13393,59,0.976282110975448,0.9662687331193941,0.9831082559409863,-5.39083591616433,1.3417833127469696e-06
