source,challenger,reference,stratum,horizon,n_basins,n_rows,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,2,19,1577,1.1814534763061046,0.36008172609652694,2.0860154273265468,-2.82168209320311,0.005991520144199399
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,3,19,1558,0.9080882090464093,0.24648609651896775,1.5674512557297853,-2.4373576803142742,0.016985334982127315
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,4,19,1539,0.8290721206497764,0.18204280838923892,1.5832755250641755,-2.000175162867578,0.04887453777210569
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,5,19,1520,1.2503265211496806,0.432105998238313,2.311268788684854,-2.1867073255582214,0.031722757381789236
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_high,6,19,1501,0.8905831328594127,0.15002763160306326,1.8231522671189442,-1.6924709146870578,0.09454734014393427
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,1,13,1092,0.7495923716038466,0.16180914924028542,1.383826670359648,-2.1483184920534635,0.034602811110664045
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,2,13,1079,0.12403648820957791,-0.628382535331754,0.8350295993644079,-0.31128631927752753,0.756372968248554
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,3,13,1066,-0.22305240048727804,-0.8237257959552524,0.2713421851311861,0.7749816568377198,0.440607043315021
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,4,13,1053,0.28526505064983,-0.3840885155668866,1.1362270884818788,-0.6988003798510375,0.48670338570830884
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,5,13,1040,1.2785879010101753,0.23438203354879172,2.389199432234371,-2.058063343195486,0.04288163442553231
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,sub_x_cont_lowmid,6,13,1027,1.3044058521794133,0.2518515919592007,2.22367079879201,-2.1338853661746646,0.035994412075302226
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,1,228,19152,0.8746492840574382,0.41182452811822257,1.293252627887859,-4.299265051151863,4.641402693962776e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,2,228,18924,1.614106029671969,0.8383620126062552,2.3168591604992526,-4.467680918950778,2.5084096478727997e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,3,228,18696,1.8359720206226449,1.1608382361564435,2.427637752470024,-5.669418453563741,2.1336915532404462e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,4,228,18468,1.9322534264179292,1.406521741333427,2.554823026042367,-5.403202990108118,6.569807354024038e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,5,228,18240,2.204250581904521,1.7235451083487876,2.774391707859367,-5.7925646729282825,1.349799415489959e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,all,6,228,18012,3.054309392937826,2.5422231949652505,3.6291584490043647,-7.099661293803694,5.087276855432656e-10
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,1,196,16464,1.0203824716923826,0.5066176519051544,1.511030339317445,-4.414861177542351,3.0214830568919152e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,2,196,16268,1.808475600750048,0.9031732542873445,2.619700111581201,-4.354497301073319,3.8258836375386366e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,3,196,16072,2.020935262997714,1.2507610012114876,2.675134029939393,-5.524230399485344,3.9005247972115805e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,4,196,15876,2.0941282997675392,1.5488639525332744,2.7323394329571435,-5.792208984284524,1.3125299019068306e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,5,196,15680,2.3604965226038166,1.8881391885553596,2.9196590528596364,-6.134561538777846,3.188628990079667e-08
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_resolved,6,196,15484,3.252784838022038,2.7547023539292765,3.821760469146739,-7.563709559683756,6.554441212007465e-11
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,1,32,2688,0.1924777380863607,-0.16702538037769166,0.5190317585381212,-1.0769275167791592,0.28463286528346476
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,2,32,2656,0.46998768636719035,-0.09191943886671272,1.0274474952992714,-1.5840538283423529,0.11703082287263739
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,3,32,2624,0.6131495697253797,-0.0007769230660425962,1.2624812100217266,-1.762975889723033,0.08167623952425336
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,4,32,2592,0.7912086271319563,0.09364582494086394,1.7289568343458743,-1.6754024112251427,0.09775996731813713
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,5,32,2560,1.0187962123839878,0.30346872280529347,1.8159605994435266,-2.336640866332017,0.021992715843335384
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,area_sub_resolution,6,32,2528,1.4699270397082076,0.6901924291057756,2.3124842758628357,-2.8264086621282063,0.005976919123808198
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,1,72,6048,0.4048576092694822,-0.12827968054843764,0.8027592996886102,-1.8448086181607353,0.06863235377301798
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,2,72,5976,0.9235803175320023,0.07086849254954232,1.568901424036584,-2.5255266100040217,0.013477915325472623
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,3,72,5904,1.3014738556495264,0.5536808614318678,1.889813299275473,-3.616396373424871,0.0005178446475300652
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,4,72,5832,1.653559737203636,0.9790741877536137,2.3827633630345924,-3.8594012585794615,0.00022913952105952276
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,5,72,5760,1.8624796605498095,1.2804962896175758,2.547619811814757,-4.386301569443681,3.5232654166426795e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_low,6,72,5688,2.712111882898305,2.083955395967646,3.4403947258107075,-5.592586487028977,3.1811044485180667e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_mid,1,78,6552,1.3339752254272086,0.7333723948429077,1.9593583480312582,-4.7202598366389505,9.44518784400411e-06
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_mid,2,78,6474,2.043557730055068,0.9265698106489056,3.069684937579155,-3.895173202078706,0.0001993194716077526
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_mid,3,78,6396,2.2140383801223518,1.3274193361810598,2.9539655201388944,-5.166428743232816,1.6780707224734194e-06
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_mid,4,78,6318,2.300277645945503,1.7035879141231467,3.027191522718976,-5.53261691783566,3.8632079289316934e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_mid,5,78,6240,2.685228905185899,2.1584203692987898,3.3427906220936845,-6.163981933804937,2.8129265417483503e-08
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_mid,6,78,6162,3.5248608187670505,2.9529381072759517,4.187387394016965,-6.963036887152821,9.261771355499098e-10
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_high,1,78,6552,0.9246157708813318,0.44943341553870164,1.3752562328152682,-4.208455438925054,6.474227658676633e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_high,2,78,6474,1.8614907098462918,1.12108427473061,2.6339006769951245,-5.003531663856935,3.157810289312949e-06
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_high,3,78,6396,1.9591217113347104,1.2710968907017024,2.6289833098102187,-5.354246425624441,7.841345003716321e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_high,4,78,6318,1.80722207640025,1.281413227324187,2.5312166642055227,-5.342074295816446,8.427671066085357e-07
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_high,5,78,6240,2.0091958549166344,1.5105266952115555,2.5349520609125795,-5.886656877036813,9.100334438283601e-08
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,cont_tercile_high,6,78,6162,2.8641305374406567,2.312166229363016,3.4880962952341505,-7.71097691431671,3.4082834632344095e-11
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,resolved_x_cont_high,1,59,4956,1.1934032752192847,0.6332839173119651,1.730567463326449,-4.532044615507765,1.9432682302083013e-05
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,resolved_x_cont_high,2,59,4897,2.2032566317179536,1.3200147509220415,3.1790848754965206,-4.7506639028645665,8.519427485416465e-06
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,resolved_x_cont_high,3,59,4838,2.3090433643680353,1.4675016836987833,3.1121946575018904,-5.073949440111375,2.4299366182749912e-06
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,resolved_x_cont_high,4,59,4779,2.0529393976761567,1.4643983454624792,2.8654589741974203,-5.990557833011826,5.6848519599211837e-08
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,resolved_x_cont_high,5,59,4720,2.2699612132010105,1.7373930835405813,2.866105833303003,-6.660074673448307,3.312266586043467e-09
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,resolved_x_cont_high,6,59,4661,3.219307175193842,2.5741646798912865,3.918261629597375,-8.93013224381045,1.4744887560621838e-13
phase8,lstmres_corr_top1_s1,lstm_own_era5_s1,resolved_x_cont_lowmid,1,137,11508,0.9467992787172363,0.39275129788931473,1.4622928356056775,-3.849397961284347,0.00023187487574830113
