tile,n_cells,area_km2
692,192,105138.8876953125
693,216,118281.24865722656
694,192,105138.8876953125
695,216,118281.24865722656
696,192,105138.8876953125
697,216,118281.24865722656
698,216,118281.24865722656
699,192,105138.8876953125
700,216,118281.24865722656
701,192,105138.8876953125
702,216,118281.24865722656
703,192,105138.8876953125
704,216,118281.24865722656
705,192,110497.3447265625
706,192,110497.3447265625
707,192,110497.3447265625
708,192,110497.3447265625
709,192,110497.3447265625
710,216,124309.51281738281
711,192,110497.3447265625
712,192,110497.3447265625
713,192,110497.3447265625
714,192,110497.3447265625
715,192,110497.3447265625
716,192,110497.3447265625
717,192,110497.3447265625
718,192,110497.3447265625
719,192,110497.3447265625
720,192,110497.3447265625
721,216,124309.51281738281
722,192,110497.3447265625
723,192,110497.3447265625
724,192,110497.3447265625
725,192,110497.3447265625
726,192,110497.3447265625
727,192,110497.3447265625
728,192,110497.3447265625
729,192,110497.3447265625
730,192,110497.3447265625
731,192,110497.3447265625
732,216,124309.51281738281
733,192,110497.3447265625
734,192,110497.3447265625
735,192,110497.3447265625
736,192,110497.3447265625
737,192,110497.3447265625
738,192,110497.3447265625
739,192,110497.3447265625
740,192,110497.3447265625
741,192,110497.3447265625
742,192,110497.3447265625
743,216,124309.51281738281
744,192,110497.3447265625
745,192,110497.3447265625
746,192,110497.3447265625
747,192,110497.3447265625
748,192,110497.3447265625
749,192,110497.3447265625
750,192,110497.3447265625
751,192,110497.3447265625
752,192,110497.3447265625
753,192,110497.3447265625
754,192,110497.3447265625
755,216,124309.51281738281
756,192,110497.3447265625
757,192,110497.3447265625
758,192,110497.3447265625
759,192,110497.3447265625
760,192,110497.3447265625
761,192,110497.3447265625
762,192,110497.3447265625
763,192,110497.3447265625
764,192,110497.3447265625
765,192,110497.3447265625
766,216,124309.51281738281
767,192,110497.3447265625
768,192,110497.3447265625
769,192,110497.3447265625
770,192,110497.3447265625
771,192,110497.3447265625
772,192,110497.3447265625
773,192,110497.3447265625
774,192,110497.3447265625
775,192,110497.3447265625
776,192,110497.3447265625
777,216,124309.51281738281
778,192,110497.3447265625
779,192,110497.3447265625
780,192,110497.3447265625
781,192,110497.3447265625
782,192,110497.3447265625
783,192,110497.3447265625
784,192,110497.3447265625
785,192,110497.3447265625
786,192,110497.3447265625
787,192,110497.3447265625
788,216,124309.51281738281
789,192,110497.3447265625
790,192,110497.3447265625
791,192,110497.3447265625
792,192,110497.3447265625
793,192,110497.3447265625
794,192,115552.9345703125
795,168,101108.81774902344
796,192,115552.9345703125
797,192,115552.9345703125
798,192,115552.9345703125
799,168,101108.81774902344
800,192,115552.9345703125
801,192,115552.9345703125
802,192,115552.9345703125
803,168,101108.81774902344
804,192,115552.9345703125
805,192,115552.9345703125
806,192,115552.9345703125
807,168,101108.81774902344
808,192,115552.9345703125
809,192,115552.9345703125
810,192,115552.9345703125
811,168,101108.81774902344
812,192,115552.9345703125
813,192,115552.9345703125
814,192,115552.9345703125
815,168,101108.81774902344
816,192,115552.9345703125
817,192,115552.9345703125
818,192,115552.9345703125
819,168,101108.81774902344
820,192,115552.9345703125
821,192,115552.9345703125
822,168,101108.81774902344
823,192,115552.9345703125
824,192,115552.9345703125
825,192,115552.9345703125
826,168,101108.81774902344
827,192,115552.9345703125
828,192,115552.9345703125
829,192,115552.9345703125
830,168,101108.81774902344
831,192,115552.9345703125
832,192,115552.9345703125
833,192,115552.9345703125
834,168,101108.81774902344
835,192,115552.9345703125
836,192,115552.9345703125
837,192,115552.9345703125
838,168,101108.81774902344
839,192,115552.9345703125
840,192,115552.9345703125
841,192,115552.9345703125
842,168,101108.81774902344
843,192,115552.9345703125
844,192,115552.9345703125
845,192,115552.9345703125
846,168,101108.81774902344
847,192,115552.9345703125
848,192,115552.9345703125
849,192,115552.9345703125
850,168,101108.81774902344
851,192,115552.9345703125
852,192,115552.9345703125
853,168,101108.81774902344
854,192,115552.9345703125
855,192,115552.9345703125
856,192,115552.9345703125
857,168,101108.81774902344
858,192,115552.9345703125
859,192,115552.9345703125
860,192,115552.9345703125
861,168,101108.81774902344
862,192,115552.9345703125
863,192,115552.9345703125
864,192,115552.9345703125
865,168,101108.81774902344
866,192,115552.9345703125
867,192,115552.9345703125
868,192,115552.9345703125
869,168,101108.81774902344
870,192,115552.9345703125
871,192,115552.9345703125
872,192,115552.9345703125
873,168,101108.81774902344
874,192,115552.9345703125
875,192,115552.9345703125
876,192,115552.9345703125
877,168,101108.81774902344
878,192,115552.9345703125
879,192,115552.9345703125
880,192,115552.9345703125
881,168,101108.81774902344
882,192,115552.9345703125
883,192,115552.9345703125
884,168,101108.81774902344
885,192,115552.9345703125
886,192,115552.9345703125
887,168,105255.32482910156
888,192,120291.7998046875
889,168,105255.32482910156
890,192,120291.7998046875
891,168,105255.32482910156
892,192,120291.7998046875
893,168,105255.32482910156
894,168,105255.32482910156
895,192,120291.7998046875
896,168,105255.32482910156
897,192,120291.7998046875
898,168,105255.32482910156
899,168,105255.32482910156
900,192,120291.7998046875
901,168,105255.32482910156
902,192,120291.7998046875
903,168,105255.32482910156
904,192,120291.7998046875
905,168,105255.32482910156
906,168,105255.32482910156
907,192,120291.7998046875
908,168,105255.32482910156
909,192,120291.7998046875
910,168,105255.32482910156
911,192,120291.7998046875
912,168,105255.32482910156
913,168,105255.32482910156
914,192,120291.7998046875
915,168,105255.32482910156
916,192,120291.7998046875
917,168,105255.32482910156
918,192,120291.7998046875
919,168,105255.32482910156
920,168,105255.32482910156
921,192,120291.7998046875
922,168,105255.32482910156
923,192,120291.7998046875
924,168,105255.32482910156
925,168,105255.32482910156
926,192,120291.7998046875
927,168,105255.32482910156
928,192,120291.7998046875
929,168,105255.32482910156
930,192,120291.7998046875
931,168,105255.32482910156
932,168,105255.32482910156
933,192,120291.7998046875
934,168,105255.32482910156
935,192,120291.7998046875
936,168,105255.32482910156
937,192,120291.7998046875
938,168,105255.32482910156
939,168,105255.32482910156
940,192,120291.7998046875
941,168,105255.32482910156
942,192,120291.7998046875
943,168,105255.32482910156
944,168,105255.32482910156
945,192,120291.7998046875
946,168,105255.32482910156
947,192,120291.7998046875
948,168,105255.32482910156
949,192,120291.7998046875
950,168,105255.32482910156
951,168,105255.32482910156
952,192,120291.7998046875
953,168,105255.32482910156
954,192,120291.7998046875
955,168,105255.32482910156
956,192,120291.7998046875
957,168,105255.32482910156
958,168,105255.32482910156
959,192,120291.7998046875
960,168,105255.32482910156
961,192,120291.7998046875
962,168,105255.32482910156
963,192,120291.7998046875
964,168,105255.32482910156
965,168,105255.32482910156
966,192,120291.7998046875
967,168,105255.32482910156
968,192,120291.7998046875
969,168,105255.32482910156
970,168,105255.32482910156
971,192,120291.7998046875
972,168,105255.32482910156
973,192,120291.7998046875
974,168,105255.32482910156
975,192,120291.7998046875
976,168,105255.32482910156
977,168,105255.32482910156
978,192,120291.7998046875
979,168,105255.32482910156
980,192,120291.7998046875
981,168,105255.32482910156
982,192,120291.7998046875
983,168,105255.32482910156
984,168,109113.33654785156
985,168,109113.33654785156
986,192,124700.9560546875
987,168,109113.33654785156
988,168,109113.33654785156
989,168,109113.33654785156
990,168,109113.33654785156
991,192,124700.9560546875
992,168,109113.33654785156
993,168,109113.33654785156
994,168,109113.33654785156
995,168,109113.33654785156
996,192,124700.9560546875
997,168,109113.33654785156
998,168,109113.33654785156
999,168,109113.33654785156
1000,168,109113.33654785156
1001,192,124700.9560546875
1002,168,109113.33654785156
1003,168,109113.33654785156
1004,168,109113.33654785156
1005,168,109113.33654785156
1006,192,124700.9560546875
1007,168,109113.33654785156
1008,168,109113.33654785156
1009,168,109113.33654785156
1010,168,109113.33654785156
1011,192,124700.9560546875
1012,168,109113.33654785156
1013,168,109113.33654785156
1014,168,109113.33654785156
1015,168,109113.33654785156
1016,192,124700.9560546875
1017,168,109113.33654785156
1018,168,109113.33654785156
1019,168,109113.33654785156
1020,168,109113.33654785156
1021,192,124700.9560546875
1022,168,109113.33654785156
1023,168,109113.33654785156
1024,168,109113.33654785156
1025,168,109113.33654785156
1026,192,124700.9560546875
1027,168,109113.33654785156
1028,168,109113.33654785156
1029,168,109113.33654785156
1030,168,109113.33654785156
1031,192,124700.9560546875
1032,168,109113.33654785156
1033,168,109113.33654785156
1034,168,109113.33654785156
1035,168,109113.33654785156
1036,192,124700.9560546875
1037,168,109113.33654785156
1038,168,109113.33654785156
1039,168,109113.33654785156
1040,168,109113.33654785156
1041,192,124700.9560546875
1042,168,109113.33654785156
1043,168,109113.33654785156
1044,168,109113.33654785156
1045,168,109113.33654785156
1046,192,124700.9560546875
1047,168,109113.33654785156
1048,168,109113.33654785156
1049,168,109113.33654785156
1050,168,109113.33654785156
1051,192,124700.9560546875
1052,168,109113.33654785156
1053,168,109113.33654785156
1054,168,109113.33654785156
1055,168,109113.33654785156
1056,192,124700.9560546875
1057,168,109113.33654785156
1058,168,109113.33654785156
1059,168,109113.33654785156
1060,168,109113.33654785156
1061,192,124700.9560546875
1062,168,109113.33654785156
1063,168,109113.33654785156
1064,168,109113.33654785156
1065,168,109113.33654785156
1066,192,124700.9560546875
1067,168,109113.33654785156
1068,168,109113.33654785156
1069,168,109113.33654785156
1070,168,109113.33654785156
1071,192,124700.9560546875
1072,168,109113.33654785156
1073,168,109113.33654785156
1074,168,109113.33654785156
1075,168,109113.33654785156
1076,192,124700.9560546875
1077,168,109113.33654785156
1078,168,109113.33654785156
1079,168,109113.33654785156
1080,168,109113.33654785156
1081,192,124700.9560546875
1082,168,109113.33654785156
1083,168,109113.33654785156
1084,168,112672.27429199219
1085,168,112672.27429199219
1086,168,112672.27429199219
1087,168,112672.27429199219
1088,168,112672.27429199219
1089,168,112672.27429199219
1090,168,112672.27429199219
1091,168,112672.27429199219
1092,168,112672.27429199219
1093,168,112672.27429199219
1094,168,112672.27429199219
1095,168,112672.27429199219
1096,168,112672.27429199219
1097,168,112672.27429199219
1098,168,112672.27429199219
1099,168,112672.27429199219
1100,168,112672.27429199219
1101,168,112672.27429199219
1102,168,112672.27429199219
1103,168,112672.27429199219
