subset,model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
joint_full_cells,li_lstm_full,ridge_own_perbasin,5,3953,59,0.3032759982824491,0.26187110532159114,0.3553605527424122,-7.052147744188916,2.3958023408159033e-09
joint_full_cells,li_lstm_full,ridge_own_perbasin,6,3953,59,0.3760414834982707,0.34929090922175543,0.4209352847344889,-9.496381708536319,2.0326281550405717e-13
joint_full_cells,li_lstm_full,damped_persistence_rho,1,3953,59,-0.7609347744132169,-0.998391029726682,-0.5902035509271106,9.641773112395486,1.1784917453962492e-13
joint_full_cells,li_lstm_full,damped_persistence_rho,2,3953,59,-0.04237640327744874,-0.17425471570119083,0.07039265841135635,0.6900045027306922,0.4929431578337198
joint_full_cells,li_lstm_full,damped_persistence_rho,3,3953,59,0.1596780363078919,0.07938962307329286,0.24201835419634873,-2.9414298210238283,0.004687994723994917
joint_full_cells,li_lstm_full,damped_persistence_rho,4,3953,59,0.2816907164846648,0.2214531494576337,0.341185515856902,-5.818035459294163,2.7142505002746894e-07
joint_full_cells,li_lstm_full,damped_persistence_rho,5,3953,59,0.3466763032987523,0.2962746909381896,0.39904179719286065,-7.2419403954179735,1.1494569573690912e-09
joint_full_cells,li_lstm_full,damped_persistence_rho,6,3953,59,0.3951243867933685,0.35724694333382484,0.43684078886070155,-8.50003165498471,8.943234752285254e-12
joint_full_cells,li_lstm_nonseas,kalman_corr_top1,1,3953,59,-1.0835724205555177,-1.365117794484179,-0.839180649106181,9.354228701701603,3.4701686111794147e-13
joint_full_cells,li_lstm_nonseas,kalman_corr_top1,2,3953,59,-0.2346537611067394,-0.37745228269003167,-0.1065447358569103,4.056397069031687,0.00015070510910708554
joint_full_cells,li_lstm_nonseas,kalman_corr_top1,3,3953,59,-0.051305578676205554,-0.15141040486318857,0.04373247490497994,1.0297457298793207,0.3074045639106906
joint_full_cells,li_lstm_nonseas,kalman_corr_top1,4,3953,59,0.0637176571190693,-0.001245247863092419,0.13470065642317441,-1.58887837277193,0.11752473477425024
joint_full_cells,li_lstm_nonseas,kalman_corr_top1,5,3953,59,0.16589707134905118,0.12509183993899645,0.22471279214942957,-4.597707916848482,2.3608634788383857e-05
joint_full_cells,li_lstm_nonseas,kalman_corr_top1,6,3953,59,0.2510814359819685,0.21624252510828612,0.31822747432605936,-5.998714808983302,1.3696247927705786e-07
joint_full_cells,li_lstm_nonseas,kalman_ar1,1,3953,59,-1.1238148452563688,-1.4178467573157694,-0.8741395902418218,9.616651013123496,1.294696919929543e-13
joint_full_cells,li_lstm_nonseas,kalman_ar1,2,3953,59,-0.28566221603293274,-0.4479282247176026,-0.14611072087538698,4.6326263978591635,2.0879780562796258e-05
joint_full_cells,li_lstm_nonseas,kalman_ar1,3,3953,59,-0.07495800849062517,-0.18168216570706056,0.026205205399951328,1.4448845171255829,0.15387155155033924
joint_full_cells,li_lstm_nonseas,kalman_ar1,4,3953,59,0.058132548349072555,-0.00892632198408957,0.13048557123841803,-1.4248549513176465,0.15955813239393404
joint_full_cells,li_lstm_nonseas,kalman_ar1,5,3953,59,0.15248203505817493,0.10938703730157952,0.21177524505428513,-4.1382227279925985,0.00011462539755181252
joint_full_cells,li_lstm_nonseas,kalman_ar1,6,3953,59,0.21784922574092047,0.17972735138490223,0.2887521398585413,-5.195052867518449,2.7606015195654593e-06
joint_full_cells,li_lstm_nonseas,ridge_own_perbasin,1,3953,59,-1.118063282715212,-1.3839705253449912,-0.8942347238340288,10.067439810785805,2.4182554124479684e-14
joint_full_cells,li_lstm_nonseas,ridge_own_perbasin,2,3953,59,-0.23699679492804604,-0.3770669946116683,-0.11232181389320776,4.356208772315684,5.46440032271272e-05
joint_full_cells,li_lstm_nonseas,ridge_own_perbasin,3,3953,59,-0.02162385182888915,-0.1077471363954505,0.06331986136954901,0.4902798648782721,0.6257855086399501
joint_full_cells,li_lstm_nonseas,ridge_own_perbasin,4,3953,59,0.1105493314132141,0.056184322022762974,0.1730762779380656,-2.98725637371434,0.004120356536592309
joint_full_cells,li_lstm_nonseas,ridge_own_perbasin,5,3953,59,0.21983955651907294,0.1810149920469839,0.2821222073256304,-5.865252878065625,2.270902563681296e-07
joint_full_cells,li_lstm_nonseas,ridge_own_perbasin,6,3953,59,0.30761125307282067,0.26820101496292686,0.3866441598333247,-7.024832708090467,2.6627582248589904e-09
joint_full_cells,li_lstm_nonseas,damped_persistence_rho,1,3953,59,-1.1048782005823252,-1.373440358063663,-0.8772960324264447,9.397710913658509,2.945849789764934e-13
joint_full_cells,li_lstm_nonseas,damped_persistence_rho,2,3953,59,-0.20826470037095457,-0.34017668083638597,-0.09154955689034354,3.8379976000137286,0.00030889326566614915
joint_full_cells,li_lstm_nonseas,damped_persistence_rho,3,3953,59,0.041079309124668284,-0.03443255554517373,0.11893575862636303,-0.9475284146742923,0.3473008092544778
joint_full_cells,li_lstm_nonseas,damped_persistence_rho,4,3953,59,0.19416650027393068,0.14917880819123636,0.2493097579141717,-5.483609702038555,9.508006769818611e-07
joint_full_cells,li_lstm_nonseas,damped_persistence_rho,5,3953,59,0.26843728119234034,0.23343491352601708,0.3248876658285494,-7.504123588140156,4.1657529258371527e-10
joint_full_cells,li_lstm_nonseas,damped_persistence_rho,6,3953,59,0.328786999778393,0.29838168961731837,0.3948763500645615,-8.242672399828566,2.4037558913905864e-11
