model,vs,horizon,skill,ci_lo,ci_hi,dm_stat,dm_p
hybrid_kalman_li_h1,damped_persistence_rho,1,-0.010225600903820187,-0.0401162902918069,0.02339055320243953,0.5931227652536422,0.5554048478804485
hybrid_kalman_li_h1,damped_persistence_rho,2,-0.04237640327744874,-0.17425471570119083,0.07039265841135635,0.6900045027306927,0.4929431578337195
hybrid_kalman_li_h1,damped_persistence_rho,3,0.1596780363078919,0.07938962307329286,0.24201835419634865,-2.9414298210238283,0.004687994723994917
hybrid_kalman_li_h1,damped_persistence_rho,4,0.2816907164846648,0.22145314945763359,0.341185515856902,-5.818035459294163,2.7142505002746894e-07
hybrid_kalman_li_h1,damped_persistence_rho,5,0.3466763032987523,0.2962746909381896,0.39904179719286065,-7.241940395417975,1.1494569573690778e-09
hybrid_kalman_li_h1,damped_persistence_rho,6,0.3951243867933685,0.35724694333382473,0.43684078886070155,-8.50003165498471,8.943234752285254e-12
hybrid_kalman_li_h1,damped_persistence_rho,all,0.2516028749047057,,,-5.3436143917758026,1.3372685860403567e-06
hybrid_era5_li_h1,ridge_corr_top1_era5,2,-0.1060554677259915,-0.26106326347638825,0.022940787713960947,1.627804813725279,0.10898709187794796
hybrid_era5_li_h1,ridge_corr_top1_era5,3,0.0768272610837083,-0.022671887557068664,0.16996454031104832,-1.339312533366236,0.18569391406717642
hybrid_era5_li_h1,li_lstm_full,1,0.47868323073564856,0.3983554663561289,0.553659589890471,-9.23970484684985,5.346522055950478e-13
hybrid_era5_li_h1,li_lstm_full,all,0.06523694423157789,,,-4.258168833515102,6.99540342799924e-05
hybrid_era5_li_h1,damped_persistence_rho,1,0.08199517251765209,-0.001111665395214467,0.13973257629181535,-2.332419966250603,0.023170720645751305
hybrid_era5_li_h1,damped_persistence_rho,2,-0.04237640327744874,-0.17425471570119083,0.07039265841135635,0.6900045027306927,0.4929431578337195
hybrid_era5_li_h1,damped_persistence_rho,3,0.1596780363078919,0.07938962307329286,0.24201835419634865,-2.9414298210238283,0.004687994723994917
hybrid_era5_li_h1,damped_persistence_rho,4,0.2816907164846648,0.22145314945763359,0.341185515856902,-5.818035459294163,2.7142505002746894e-07
hybrid_era5_li_h1,damped_persistence_rho,5,0.3466763032987523,0.2962746909381896,0.39904179719286065,-7.241940395417975,1.1494569573690778e-09
hybrid_era5_li_h1,damped_persistence_rho,6,0.3951243867933685,0.35724694333382473,0.43684078886070155,-8.50003165498471,8.943234752285254e-12
hybrid_era5_li_h1,damped_persistence_rho,all,0.2572738541732189,,,-5.649642174850816,4.145204105971294e-07
