name,dm_stat,p,a_better,bh_threshold,significant,comparison
R_Colorado_River_of_the_West_North_America,1.435815713829416,0.15481296666145744,False,0.03333333333333333,False,corr_top1_vs_own_ridge
C_Neva_River_Finland_Coast,1.4305331289695655,0.15631812452810512,False,0.033771929824561404,False,corr_top1_vs_own_ridge
R_Limpopo_River,1.4281459563784034,0.15700199410708857,False,0.034210526315789476,False,corr_top1_vs_own_ridge
C_Sumatra,1.4249238753253701,0.1579287045141601,False,0.03464912280701755,False,corr_top1_vs_own_ridge
C_East_Hudson_Bay_Coast,-1.4176139702273096,0.16004675943891195,True,0.03508771929824561,False,corr_top1_vs_own_ridge
C_Uda_Basin,-1.408009173929844,0.16286291970757347,True,0.035526315789473684,False,corr_top1_vs_own_ridge
C_Chukchi_Peninsula,1.3988436777223845,0.1655856084918057,False,0.035964912280701755,False,corr_top1_vs_own_ridge
C_Shelikhov_Gulf_Sea_of_Okhotsk_Coast,1.393952821459808,0.16705267743418548,False,0.03640350877192983,False,corr_top1_vs_own_ridge
C_Yenisey_Gulf_Coast,1.3919693285470276,0.16765047572100383,False,0.03684210526315789,False,corr_top1_vs_own_ridge
R_Dnieper_River,1.3892374332022492,0.1684765089184767,False,0.03728070175438596,False,corr_top1_vs_own_ridge
C_East_Barents_Sea_Coast,1.3887511833112824,0.1686238600215554,False,0.03771929824561404,False,corr_top1_vs_own_ridge
R_Yellow_River_Huang_He,-1.3730586456901308,0.17343229919262507,True,0.03815789473684211,False,corr_top1_vs_own_ridge
R_Tocantins_River,-1.3702479402251226,0.17430445455410237,True,0.03859649122807018,False,corr_top1_vs_own_ridge
C_US_North_Atlantic_Coast,-1.3648112196858115,0.17600091357064807,True,0.03903508771929825,False,corr_top1_vs_own_ridge
C_West_Caspian_Sea_Coast,-1.3626001235638387,0.17669443256447956,True,0.03947368421052632,False,corr_top1_vs_own_ridge
C_South_Baltic_Coast,1.3608249059434534,0.17725273558901228,False,0.03991228070175439,False,corr_top1_vs_own_ridge
C_Angola_Coast,1.3511824740855172,0.18030865409236915,False,0.04035087719298246,False,corr_top1_vs_own_ridge
C_Gydan_Bay_Coast,1.3282749160450558,0.18772816750018662,False,0.04078947368421053,False,corr_top1_vs_own_ridge
E_Junggar_Pendi,-1.3127039606033226,0.19290090444703664,True,0.0412280701754386,False,corr_top1_vs_own_ridge
E_Great_Basin_Great_Salt_Lake,1.308509818221543,0.19431228050864013,False,0.04166666666666667,False,corr_top1_vs_own_ridge
R_Danube_River,-1.2801175013685324,0.20407005609761752,True,0.042105263157894736,False,corr_top1_vs_own_ridge
C_Prince_of_Wales_Island,-1.2613092373690415,0.2107310273267565,True,0.04254385964912281,False,corr_top1_vs_own_ridge
E_La_Puna_Altiplano,-1.2241523945764563,0.22435819584715383,True,0.04298245614035088,False,corr_top1_vs_own_ridge
C_Java,-1.2192117901951156,0.2262174034532442,True,0.04342105263157895,False,corr_top1_vs_own_ridge
C_Labrador_Sea_Coast,1.2036914747116323,0.23213063381303034,False,0.043859649122807015,False,corr_top1_vs_own_ridge
E_South_Interior_Africa,1.1976063751294623,0.2344792816870853,False,0.04429824561403509,False,corr_top1_vs_own_ridge
R_Lena_River,1.1954963656080646,0.23529766410829112,False,0.04473684210526316,False,corr_top1_vs_own_ridge
C_Capim_River_Delta,-1.1927613520496332,0.23636151948966463,True,0.04517543859649123,False,corr_top1_vs_own_ridge
C_Crimea_West_Azov_Sea_Coast,1.1563013229317847,0.25087533612939794,False,0.0456140350877193,False,corr_top1_vs_own_ridge
C_East_Mississippi_Delta,1.1437151774724261,0.25602970605867204,False,0.04605263157894737,False,corr_top1_vs_own_ridge
C_Hispaniola,-1.1378797595553778,0.25844471578973516,True,0.046491228070175444,False,corr_top1_vs_own_ridge
C_Gulf_of_Guinea_Coast,1.1292575938123084,0.2620423846393143,False,0.046929824561403516,False,corr_top1_vs_own_ridge
C_Bight_of_Benin_Coast,-1.102380614800791,0.2734825122393499,True,0.04736842105263158,False,corr_top1_vs_own_ridge
C_Ellesmere_Island,-1.0955876921763472,0.27642814470092564,True,0.04780701754385965,False,corr_top1_vs_own_ridge
R_Murray_Darling_River,1.0855110023752321,0.28083816776577397,False,0.048245614035087724,False,corr_top1_vs_own_ridge
C_New_Brunswick_and_Nova_Scotia_Coast,1.0828673285250383,0.28200317197204644,False,0.048684210526315795,False,corr_top1_vs_own_ridge
