model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
kalman_corr_top1,kalman_own_ridge,6,18012,79,-0.01278259492937095,-0.02063857311735682,-0.007315716491109529,3.3473525808646816,0.0012577961630115013
kalman_corr_top1,kalman_ar1,6,18012,79,-0.01822768632007432,-0.030062227443707533,-0.009792503595853578,2.9473083140581022,0.004226330543347134
kalman_pred_lag1_top1,kalman_own_ridge,6,18012,79,-0.035416287561173876,-0.051544082264697144,-0.023483328698307087,4.083194447355283,0.0001066742250967597
kalman_pred_lag1_top1,kalman_corr_top1,6,18012,79,-0.022348026857018866,-0.03205692837933343,-0.015060590168034994,4.093368785673535,0.00010289464630884468
fusion_corr_top1,kalman_ar1,6,18012,79,-0.0067578313051432914,-0.010088358697629151,-0.003528481790807838,4.1606809787359795,8.094743834821586e-05
fusion_corr_top1_mle,kalman_ar1,6,18012,79,-0.019043564028127014,-0.025872432302948667,-0.012978915369231523,5.742917683538367,1.7097984379118703e-07
fusion_corr_top1,kalman_own_ridge,6,18012,79,-0.0013740763027876302,-0.006705521116637791,0.004128619241440866,0.46746488509802486,0.6414706852690938
fusion_corr_top1,kalman_corr_top1,6,18012,79,0.01126452871889927,0.003513050148410366,0.021544352401257728,-2.026447555413254,0.04613713692229958
coupled_corr_top1,kalman_ar1,6,18012,79,-0.0023488985786490613,-0.004966120826027626,0.0001358599066845786,1.892773679614105,0.06209765321884732
coupled_corr_top1,kalman_own_ridge,6,18012,79,0.003011279141381884,-0.0032514677585139097,0.010220289046933883,-0.7812221380949885,0.43703660730649074
coupled_corr_top1,kalman_corr_top1,6,18012,79,0.015594535441097568,0.006924519867472854,0.027801633857905263,-2.3688384799868616,0.020318559543926775
gbm_own,ridge_own,1,19152,84,-0.008748260872200486,-0.012194612404624217,-0.0055728259322846046,5.0574734911484285,2.5015875403590492e-06
gbm_corr_top1,ridge_corr_top1,1,19152,84,-0.00678038303144235,-0.010659622445429767,-0.0025389496252633376,3.176538038608939,0.0020931764778454242
gbm_corr_top1,gbm_own,1,19152,84,-0.0032162559700794624,-0.0068368567488947315,0.00013320702327837775,1.7390090174990238,0.08574081390182814
ridge_corr_top1_2hop,ridge_corr_top1,1,19152,84,-0.0015161404213057672,-0.002694153443330649,-0.0005051796551427791,2.772857565079831,0.006859675362965083
gbm_corr_top1_2hop,gbm_corr_top1,1,19152,84,-0.0010512422331376836,-0.0034188444676095443,0.0009102626974933052,0.964997774834588,0.3373492109929892
mlp_corr_top1_s0,ridge_corr_top1,1,19152,84,-0.008275188783926746,-0.013742775307367583,-0.003778998965458257,3.4265319561893506,0.0009532178047918782
mlp_own_s0,ridge_own,1,19152,84,-0.015247124961534908,-0.023017126077503086,-0.008671049046271213,4.132894567110751,8.514026917905908e-05
gbm_own,ridge_own,2,18924,83,-0.008031598282763452,-0.010977411479963912,-0.005354305563459628,5.690104637090175,1.9052248413645486e-07
gbm_corr_top1,ridge_corr_top1,2,18924,83,-0.003371410069804126,-0.008008989416610818,0.0005684830254260653,1.6861634159910857,0.09556587784663127
gbm_corr_top1,gbm_own,2,18924,83,-0.005035748461966305,-0.011460366774128266,0.00041579281729588636,1.8551148803870132,0.06717355690896117
ridge_corr_top1_2hop,ridge_corr_top1,2,18924,83,-0.0026471797926908014,-0.00466065673649384,-0.0011476845351276706,3.1081259831867207,0.002587761355238111
gbm_corr_top1_2hop,gbm_corr_top1,2,18924,83,-0.0037191045599542782,-0.006328113743155128,-0.00125786562594877,2.881534038924087,0.005049729088352926
mlp_corr_top1_s0,ridge_corr_top1,2,18924,83,-0.01307830401333887,-0.018983889510093686,-0.008636680722476931,4.9319407133889985,4.192761353934966e-06
mlp_own_s0,ridge_own,2,18924,83,-0.011527936738745526,-0.018548882730321136,-0.005748011706378503,3.8202481927144865,0.0002582703797826361
gbm_own,ridge_own,3,18696,82,-0.012572476321634829,-0.016754486474717074,-0.009189903015415479,5.769550735474825,1.4026391941518828e-07
gbm_corr_top1,ridge_corr_top1,3,18696,82,-0.008285318285437882,-0.013310421423171853,-0.00399170371217885,3.4379147362071643,0.0009282463405977174
gbm_corr_top1,gbm_own,3,18696,82,-0.007318685667312641,-0.014427183458338998,-0.001162451305355929,2.2577488152771767,0.02665225980099185
ridge_corr_top1_2hop,ridge_corr_top1,3,18696,82,-0.0030904360659584906,-0.005447580767716892,-0.0013462163091025078,2.905438127887508,0.004726965234251684
gbm_corr_top1_2hop,gbm_corr_top1,3,18696,82,-0.004944349940463555,-0.0081321829098293,-0.002181390960216778,3.090378165899869,0.0027399112282434053
mlp_corr_top1_s0,ridge_corr_top1,3,18696,82,-0.013594977673526243,-0.019572157849966087,-0.009054647207340826,5.200679717311113,1.4619589710766424e-06
mlp_own_s0,ridge_own,3,18696,82,-0.01805195698125428,-0.02540160496128992,-0.011997673368844155,4.742128733197088,8.938939784151263e-06
