model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_ridge_twin,dm_p,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
gnn_corr_top2_era5_s2,2,1.1935141710284554,19188,20.0,14.0,0.3333333333333333,-1.8160177745756667,0.07306766422714138,-3.3379175136480104,0.0012769152168092322,0.01302838883508095
ridge_corr_top1_era5,2,1.1935290417962932,19188,,,,,,-1.754265415230681,0.0831670760683294,0.013003794041849703
kalman_ar1,2,1.1953584266583883,19188,,,,,,,,0.009975833060832495
gnn_corr_top2_era5_s1,2,1.1973138095394498,19188,20.0,8.0,0.6190476190476191,-0.001864518089666149,0.9985169150527785,-1.787429719509074,0.0776085159517348,0.006734195020728584
ridge_corr_top2_era5,2,1.197317556736093,19188,,,,,,-2.1604845396940724,0.033690124410389585,0.006727977823390963
gnn_corr_top1_era5_s1,2,1.1986955349360846,19188,20.0,6.0,0.7142857142857143,3.147514188264966,0.002304938279284059,-1.1215206380846783,0.26538015105729373,0.004440372835492257
gnn_corr_top1_era5_s0,2,1.1992244649272759,19188,20.0,5.0,0.7619047619047619,3.2956870066387616,0.0014584011991807659,-0.6863487940141664,0.49445326176509513,0.003561588343997779
gnn_corr_top2_era5_s0,2,1.199692849843613,19188,20.0,5.0,0.7619047619047619,1.243196957696629,0.21738170598571932,-1.4881722241849247,0.14058845557990537,0.002783072095791095
ridge_own,2,1.201365758370325,19188,,,,,,,,0.0
ridge_corr_top1,2,1.2019491292838866,19188,,,,,,,,-0.0009714153228821409
gnn_corr_top1_s0,2,1.2035707429133184,19188,20.0,19.0,0.09523809523809523,1.7057196398248882,0.091892362983887,,,-0.0036741650741087817
gnn_corr_top1_s2,2,1.204108127046321,19188,20.0,18.0,0.14285714285714285,2.1618634540589503,0.03357999494349074,,,-0.004570629172636398
gnn_corr_top1_s1,2,1.2050684873662436,19188,20.0,15.0,0.2857142857142857,2.3988550506002584,0.018743652134768706,,,-0.006173698659165616
gnn_corr_top2_s1,2,1.206166683411139,19188,20.0,15.0,0.2857142857142857,-0.9200019187213787,0.3603035570447847,,,-0.0080084150725368
ridge_corr_top2,2,1.2071180469213825,19188,,,,,,,,-0.009599174684492562
gnn_corr_top2_s0,2,1.2073527372558583,19188,20.0,11.0,0.47619047619047616,0.2778141449890912,0.7818629088754416,,,-0.009991789478186686
gnn_corr_top2_s2,2,1.2079640802896467,19188,20.0,8.0,0.6190476190476191,0.6957726247223429,0.48856275807133553,,,-0.011014867074130796
gnn_corr_top1_era5_s2,3,1.2674411938243926,18954,20.0,19.0,0.09523809523809523,-1.017692256709073,0.31189214379479874,-1.9397035345005849,0.05594024739790058,0.004988734412708418
ridge_own_era5,3,1.2685130189219525,18954,,,,,,-0.5151345908952136,0.6078794759416654,0.003305139163872317
ridge_corr_top1_era5,3,1.2696690468483842,18954,,,,,,-0.5455783586600388,0.5868738529657064,0.001487685036459685
gnn_corr_top1_era5_s1,3,1.2702948137459584,18954,20.0,15.0,0.2857142857142857,0.36578916597967137,0.7154878722785567,-1.2001331488840425,0.23362956185833916,0.0005031923722317311
ridge_own,3,1.270614535742653,18954,,,,,,,,0.0
gnn_corr_top1_era5_s0,3,1.2716054080062438,18954,20.0,12.0,0.42857142857142855,0.9942657790070314,0.3230913507763937,-0.7843072469374084,0.43517606565955175,-0.0015602822022686702
ridge_corr_top1,3,1.2718307551060493,18954,,,,,,,,-0.0019152959541937076
kalman_ar1,3,1.2733980750571514,18954,,,,,,,,-0.004386205556974998
gnn_corr_top2_era5_s2,3,1.2735872805880437,18954,20.0,8.0,0.6190476190476191,-0.582927097298923,0.5615819837914381,-0.7376465348740568,0.4628874468447778,-0.004684697516401437
ridge_corr_top2_era5,3,1.2754023461650679,18954,,,,,,-0.7314490146208011,0.4666421033931645,-0.007550410886044023
gnn_corr_top1_s1,3,1.276100755125687,18954,20.0,18.0,0.14285714285714285,2.412200514240226,0.018145524089889817,,,-0.008654180069430861
gnn_corr_top1_s0,3,1.2761764893908514,18954,20.0,18.0,0.14285714285714285,2.2477050569484915,0.02734814616888653,,,-0.008773907214203902
gnn_corr_top2_era5_s1,3,1.2763301587395601,18954,20.0,3.0,0.8571428571428571,0.3716290490973442,0.7111515403223682,-0.6560712804672328,0.5136608306776066,-0.009016862579297902
gnn_corr_top2_era5_s0,3,1.2767472566673597,18954,20.0,2.0,0.9047619047619048,0.42433689084916254,0.6724590976287806,-0.40489488450484884,0.6866354101203198,-0.00967645305725262
gnn_corr_top1_s2,3,1.2771973160135857,18954,20.0,16.0,0.23809523809523808,3.985256766350437,0.0001479074801073388,,,-0.010388409810745847
gnn_corr_top2_s2,3,1.2776611635900763,18954,20.0,14.0,0.3333333333333333,-0.3439756007270346,0.7317671107501166,,,-0.011122440979647985
ridge_corr_top2,3,1.2782422579819366,18954,,,,,,,,-0.012042389414364862
gnn_corr_top2_s0,3,1.2793371839220886,18954,20.0,11.0,0.47619047619047616,0.7094320965553162,0.4801189466514065,,,-0.013776937079053697
gnn_corr_top2_s1,3,1.2799660113698872,18954,20.0,10.0,0.5238095238095238,0.7191256426598679,0.4741589112300357,,,-0.014773777386091647
