
===== all_matched =====
     subset                  model  horizon  rmse_std     n  n_months  n_basins  skill_vs_damped
all_matched     lstm_own_era5_ens           li_lstm_full        6   13620        60 -0.3297 -0.4512 -0.2466   5.8130 0.0000
all_matched  ridge_corr_top1_era5           li_lstm_full        1   13620        60  0.1735  0.0463  0.2843  -3.1556 0.0025
all_matched  ridge_corr_top1_era5           li_lstm_full        2   13620        60 -0.0796 -0.2121  0.0353   1.5157 0.1349
all_matched  ridge_corr_top1_era5           li_lstm_full        3   13620        60 -0.1677 -0.2817 -0.0712   3.2239 0.0021
all_matched  ridge_corr_top1_era5           li_lstm_full        4   13620        60 -0.2102 -0.3307 -0.1179   3.6670 0.0005
all_matched  ridge_corr_top1_era5           li_lstm_full        5   13620        60 -0.2628 -0.3899 -0.1774   4.3711 0.0001
all_matched  ridge_corr_top1_era5           li_lstm_full        6   13620        60 -0.3351 -0.4575 -0.2494   5.6978 0.0000
all_matched            kalman_ar1           li_lstm_full        1   13620        60  0.1463  0.0378  0.2461  -3.0019 0.0039
all_matched            kalman_ar1           li_lstm_full        2   13620        60 -0.0667 -0.1830  0.0308   1.4430 0.1543
all_matched            kalman_ar1           li_lstm_full        3   13620        60 -0.1630 -0.2649 -0.0775   3.5119 0.0009
all_matched            kalman_ar1           li_lstm_full        4   13620        60 -0.2268 -0.3331 -0.1460   4.4879 0.0000
all_matched            kalman_ar1           li_lstm_full        5   13620        60 -0.2824 -0.3972 -0.2061   5.2958 0.0000
all_matched            kalman_ar1           li_lstm_full        6   13620        60 -0.3382 -0.4524 -0.2600   6.2545 0.0000
all_matched lstmres_corr_top1_ens        li_lstm_nonseas        1   13620        60  0.3094  0.2323  0.3834  -8.1490 0.0000
all_matched lstmres_corr_top1_ens        li_lstm_nonseas        2   13620        60  0.0896  0.0155  0.1599  -2.7313 0.0083
all_matched lstmres_corr_top1_ens        li_lstm_nonseas        3   13620        60 -0.0174 -0.0762  0.0354   0.6015 0.5498
all_matched lstmres_corr_top1_ens        li_lstm_nonseas        4   13620        60 -0.0891 -0.1439 -0.0457   3.1123 0.0029
all_matched lstmres_corr_top1_ens        li_lstm_nonseas        5   13620        60 -0.1620 -0.2265 -0.1189   5.0393 0.0000
all_matched lstmres_corr_top1_ens        li_lstm_nonseas        6   13620        60 -0.2338 -0.3030 -0.1837   6.5013 0.0000
all_matched lstmres_corr_top1_ens damped_persistence_rho        1   13620        60  0.1114  0.0886  0.1337 -12.2132 0.0000
all_matched lstmres_corr_top1_ens damped_persistence_rho        2   13620        60  0.1178  0.0948  0.1409 -11.1934 0.0000
all_matched lstmres_corr_top1_ens damped_persistence_rho        3   13620        60  0.1338  0.1162  0.1546 -12.5377 0.0000
all_matched lstmres_corr_top1_ens damped_persistence_rho        4   13620        60  0.1659  0.1489  0.1868 -12.5095 0.0000
all_matched lstmres_corr_top1_ens damped_persistence_rho        5   13620        60  0.1555  0.1407  0.1751 -11.6328 0.0000
all_matched lstmres_corr_top1_ens damped_persistence_rho        6   13620        60  0.1416  0.1313  0.1547 -12.4188 0.0000
all_matched          li_lstm_full damped_persistence_rho        1   13620        60 -0.1109 -0.2611  0.0165   1.9437 0.0567
all_matched          li_lstm_full damped_persistence_rho        2   13620        60  0.1476  0.0652  0.2287  -3.6210 0.0006
all_matched          li_lstm_full damped_persistence_rho        3   13620        60  0.2330  0.1737  0.2953  -6.1780 0.0000
all_matched          li_lstm_full damped_persistence_rho        4   13620        60  0.2897  0.2384  0.3483  -7.3926 0.0000
all_matched          li_lstm_full damped_persistence_rho        5   13620        60  0.3170  0.2713  0.3750  -7.7251 0.0000
all_matched          li_lstm_full damped_persistence_rho        6   13620        60  0.3414  0.2967  0.3963  -8.3778 0.0000

per-basin win counts (lstmres_ens beats li_full, dm_stat<0):
         we_win    n
horizon             
1           137  227
2            82  227
3            71  227
4            65  227
5            59  227
6            59  227
