target,feature,spearman_r,p,n
dm_p4cond,nbr_stable,-0.2875179565710725,7.845455431514846e-06,234
dm_p4cond,rho,0.031457143593021604,0.6321211777440099,234
dm_p4cond,log_qr,0.0676922140350138,0.3024799251552908,234
dm_p4cond,coupling,-0.10544331113568171,0.10765505582039418,234
dm_p4cond,glaciated,-0.04839431183161216,0.4612694429510675,234
skill_era5r,abs_lat,-0.054510886489701225,0.4065341451855351,234
skill_era5r,centroid_lat,-0.014546382604094231,0.8248300522267579,234
skill_era5r,log10_area,-0.26847003786096113,3.162151986529166e-05,234
skill_era5r,era5_coverage,-0.1594585671838891,0.014613059914831623,234
skill_era5r,nbr_corr,0.2156818211686813,0.0008975957280525673,234
skill_era5r,nbr_dist_km,-0.14231479591427582,0.02952314637120765,234
skill_era5r,nbr_stable,0.30715396355534746,1.6704941808382308e-06,234
skill_era5r,rho,-0.01740293006844007,0.7911572907097175,234
skill_era5r,log_qr,-0.07259610994429733,0.2687178135784915,234
skill_era5r,coupling,0.10762737822701411,0.10051960726882687,234
skill_era5r,glaciated,0.03551237271096719,0.5888547986300062,234
dm_era5r,abs_lat,0.07521476788210421,0.2517837861288732,234
dm_era5r,centroid_lat,0.03745589326814787,0.5686120219536062,234
dm_era5r,log10_area,0.27131347330415917,2.584883321902663e-05,234
dm_era5r,era5_coverage,0.16075291098576647,0.013819913781674463,234
dm_era5r,nbr_corr,-0.19244666643549793,0.0031187716021784063,234
dm_era5r,nbr_dist_km,0.1462282970954277,0.025291444160107753,234
dm_era5r,nbr_stable,-0.285047200725369,9.455323106083011e-06,234
dm_era5r,rho,0.03511258777444514,0.5930593976872445,234
dm_era5r,log_qr,0.05757535314653387,0.3806253148356266,234
dm_era5r,coupling,-0.09830878566723447,0.13376561357137234,234
dm_era5r,glaciated,-0.04560902769741865,0.487488294007666,234
skill_era5c,abs_lat,-0.13363256838738533,0.04111108839838006,234
skill_era5c,centroid_lat,-0.054621402096518536,0.4055819811542435,234
skill_era5c,log10_area,-0.15171498212316406,0.020242564466446497,234
skill_era5c,era5_coverage,-0.06020337681373204,0.35922918822676947,234
skill_era5c,nbr_corr,0.18728564016800064,0.004039495005475801,234
skill_era5c,nbr_dist_km,-0.08006685311114117,0.2223934391873274,234
skill_era5c,nbr_stable,0.22743957758607228,0.0004538815706801653,234
skill_era5c,rho,0.006918932587821275,0.9161585513732781,234
skill_era5c,log_qr,-0.061425604499296405,0.3495394442252103,234
skill_era5c,coupling,0.05093907828716309,0.4380153476137186,234
skill_era5c,glaciated,0.010792976019999834,0.8695568196769277,234
dm_era5c,abs_lat,0.14460452036929075,0.02697935942475274,234
dm_era5c,centroid_lat,0.07702984623813773,0.24048922844434525,234
dm_era5c,log10_area,0.16062647363898394,0.013895691319781092,234
dm_era5c,era5_coverage,0.0641669534921293,0.32841230374623576,234
dm_era5c,nbr_corr,-0.1896678324030754,0.003587727685402917,234
dm_era5c,nbr_dist_km,0.08955956370622674,0.17212521687017548,234
dm_era5c,nbr_stable,-0.23290124840289045,0.00032668757426693694,234
dm_era5c,rho,-0.004099848041040627,0.9502601965204988,234
dm_era5c,log_qr,0.05048736914319967,0.44209348597794135,234
dm_era5c,coupling,-0.056590387022200137,0.3888407546787256,234
dm_era5c,glaciated,-0.025763878241289923,0.6950093318533895,234
