model,vs,horizon,skill,ci_lo,ci_hi,dm_stat,dm_p
hybrid_kalman_li_h1,li_lstm_full,all,0.02111220883809406,,,-1.8407928805455807,0.07028819900131968
hybrid_kalman_li_h1,damped_persistence_rho,1,0.04981768329785974,0.04026542234724367,0.06261103363762247,-7.076039067410844,2.0113864376576188e-09
hybrid_kalman_li_h1,damped_persistence_rho,2,0.14761184888760803,0.06522661641199373,0.22867380822640285,-3.621005067302796,0.0006111186016304255
hybrid_kalman_li_h1,damped_persistence_rho,3,0.2330342275762889,0.1736570696802151,0.2952644236731018,-6.17796443229424,6.53858386097656e-08
hybrid_kalman_li_h1,damped_persistence_rho,4,0.28970918319412187,0.2384285586838262,0.3482772351372591,-7.392560507930422,5.849543105661284e-10
hybrid_kalman_li_h1,damped_persistence_rho,5,0.31696766510616314,0.27130938186842446,0.3750093865538705,-7.72508688907381,1.5976994726274892e-10
hybrid_kalman_li_h1,damped_persistence_rho,6,0.3414308054914126,0.2966594246967578,0.3962942565489188,-8.37781948825041,1.2602303526547474e-11
hybrid_kalman_li_h1,damped_persistence_rho,all,0.2537156803397843,,,-5.521448678271816,6.544000537252216e-07
hybrid_era5_li_h1,ridge_corr_top1_era5,2,0.0737420964904999,-0.03663346072150052,0.17495815567448603,-1.5156973233753919,0.13493559877053035
hybrid_era5_li_h1,ridge_corr_top1_era5,3,0.14359507209098588,0.06648056404572567,0.21979504812206568,-3.223884770712556,0.0020621812163744307
hybrid_era5_li_h1,li_lstm_full,1,0.17346117885889378,0.04629002690221522,0.28427394251307275,-3.1555557994780528,0.0025219227607081083
hybrid_era5_li_h1,li_lstm_full,all,0.025315041925729087,,,-1.8863690344014004,0.06378379819175159
hybrid_era5_li_h1,damped_persistence_rho,1,0.08180924523507149,0.05003101819421196,0.10921751181961876,-6.376089183496254,3.048205257981109e-08
hybrid_era5_li_h1,damped_persistence_rho,2,0.14761184888760803,0.06522661641199373,0.22867380822640285,-3.621005067302796,0.0006111186016304255
hybrid_era5_li_h1,damped_persistence_rho,3,0.2330342275762889,0.1736570696802151,0.2952644236731018,-6.17796443229424,6.53858386097656e-08
hybrid_era5_li_h1,damped_persistence_rho,4,0.28970918319412187,0.2384285586838262,0.3482772351372591,-7.392560507930422,5.849543105661284e-10
hybrid_era5_li_h1,damped_persistence_rho,5,0.31696766510616314,0.27130938186842446,0.3750093865538705,-7.72508688907381,1.5976994726274892e-10
hybrid_era5_li_h1,damped_persistence_rho,6,0.3414308054914126,0.2966594246967578,0.3962942565489188,-8.37781948825041,1.2602303526547474e-11
hybrid_era5_li_h1,damped_persistence_rho,all,0.2569198355655107,,,-5.816653201247824,2.0806711693456835e-07
