name,continent,centroid_lat,centroid_lon,area_km2,glaciated,abs_lat,log10_area,stratum,era5_coverage,nbr_corr,nbr_dist_km,nbr_n_unique,nbr_modal,nbr_stable,rho,log_qr,coupling,skill_p3b,dm_p3b,dm_p_p3b,n_p3b,skill_p4cond,dm_p4cond,dm_p_p4cond,n_p4cond,skill_era5r,dm_era5r,dm_p_era5r,n_era5r,skill_era5c,dm_era5c,dm_p_era5c,n_era5c,li_dm_h4,dist_band,corr_band,lat_band
C_West_Caspian_Sea_Coast,europe,40.75968170166016,46.47007369995117,576202.375,0,40.75968170166016,5.760575044029901,low,1.0000000087328895,0.622824841385427,1032.9271625918072,1,C_East_Caspian_Sea_Coast,1,0.9564342814389125,-0.5536099018589342,0.7866207330561055,-0.024085665487574515,0.5798605294838793,0.5635985649745819,83,-0.02230956676769269,0.539707081590659,0.590861688762265,83,-0.024085665487574515,0.5798605294838793,0.5635985649745819,83,-0.044235528677187164,1.2011439753356108,0.23315333406513916,83,-1.878761186309065,>1000,low_corr,N_midlat
C_North_Gulf_of_Oman_Coast,asia,27.51263427734375,57.23703002929688,355618.8125,0,27.51263427734375,5.55098472740738,sub_noise,0.9206085385610984,0.8015652019293344,568.3628415939165,1,E_Central_Iran,1,0.7656822375283057,2.210269446824912,0.8540803584845124,0.018760580924544357,-0.8379310721440825,0.4045051990990763,83,0.01838024930190063,-0.8304797571524077,0.4086790673226828,83,0.018760580924544357,-0.8379310721440825,0.4045051990990763,83,0.017653515266212727,-0.7646587324478172,0.4466697810855193,83,-3.6287361745937887,300-600,high_corr,N_midlat
R_Tigris_Euphrates_River,asia,34.301055908203125,43.343482971191406,940210.625,0,34.301055908203125,5.973225154693967,low,1.0000000125204966,0.6401610801500577,1153.7967923364688,1,E_Central_Iran,1,0.9417682408846376,0.4333714082463815,0.6340695871450942,-0.06443112336651113,1.256218055781287,0.2126041603659341,83,-0.06598021496053486,1.2924550080210606,0.19982982490488815,83,-0.06443112336651113,1.256218055781287,0.2126041603659341,83,-0.08528357530339514,1.7993015106011696,0.07564971049244379,83,2.023094298898742,>1000,low_corr,N_midlat
C_South_Gulf_of_Oman_West_Arabian_Sea_Coast,asia,23.240482330322266,53.53352355957031,332875.21875,0,23.240482330322266,5.52228146484508,sub_noise,0.8980874258854963,0.7334157299559761,597.1190405522804,2,C_North_Gulf_of_Oman_Coast,0,0.5319903341665675,6.922223523808985,0.7594977351786605,-0.10061233376997691,3.9953350809674317,0.00014032351624632204,83,-0.10000371328434743,4.055141236533619,0.00011351605891132629,83,-0.10061233376997691,3.9953350809674317,0.00014032351624632204,83,-0.08972231226516403,3.5554782246024357,0.0006296458975990378,83,-2.949648584133137,300-600,mid_corr,tropics
C_East_Red_Sea_North_Gulf_of_Aden_Coast,asia,19.81662940979004,42.26737594604492,581843.875,0,19.81662940979004,5.764806466914391,sub_noise,0.9131566553109404,0.724876179115501,766.2599614937719,3,C_West_Red_Sea_Coast,0,0.3685234605376023,5.646875805473599,0.744575436781242,0.008171102624555449,-0.3489617076859876,0.728012530941841,83,0.007434657642454323,-0.3215881766946055,0.7485830198776148,83,0.008171102624555449,-0.3489617076859876,0.728012530941841,83,-0.008264073109044645,0.3957231287777623,0.6933370073500346,83,-4.25157012679592,600-1000,mid_corr,tropics
E_Rub_al_Khali_Desert,asia,20.60033226013184,48.76992034912109,1270494.0,0,20.60033226013184,6.103972618404063,sub_noise,0.999417400830428,0.6787313712018977,684.0628166202141,1,C_East_Red_Sea_North_Gulf_of_Aden_Coast,1,0.39349285160731884,6.905339377938144,0.6783116483507585,-0.02293794705229102,1.5882504943224591,0.11607834284957383,83,-0.02311033553476083,1.6068596281662357,0.11192931227819662,83,-0.02293794705229102,1.5882504943224591,0.11607834284957383,83,-0.024224675776218785,1.945906766892344,0.055091625848126526,83,-2.18490779095758,600-1000,mid_corr,tropics
E_Farahrud_Helmand_Hamun_i_Mashkel,asia,31.083477020263672,63.8124885559082,567806.625,0,31.083477020263672,5.754200455439147,low,1.0000000453670272,0.6310334333436906,901.306307943508,1,R_Indus_River,1,0.802542176854035,0.4868330916909704,0.6248382582182046,0.10325553804577792,-3.1706341249793875,0.002139593142128568,83,0.10473076641945278,-3.2288911613475118,0.0017881529970038132,83,0.10325553804577792,-3.1706341249793875,0.002139593142128568,83,0.08409289202476411,-2.94653418099181,0.0041826630658928525,83,-0.8907745798160427,600-1000,low_corr,N_midlat
E_Central_Iran,asia,32.415531158447266,55.56802368164063,821598.8125,0,32.415531158447266,5.9146598028810065,low,0.9999999384737008,0.8015652019293344,568.3628415939165,1,C_North_Gulf_of_Oman_Coast,1,0.871365303129027,0.07170633748143546,0.8540803584845115,0.037579991396506696,-1.5469819972020444,0.12571851705822226,83,0.03938495652123897,-1.6225601788768456,0.10852217040093243,83,0.037579991396506696,-1.5469819972020444,0.12571851705822226,83,0.02699455253367078,-1.2417749218995355,0.217859748385333,83,-3.322049170357709,300-600,high_corr,N_midlat
E_North_Central_Arabia,asia,27.35603713989257,43.16742706298828,549897.3125,0,27.35603713989257,5.740281597170019,sub_noise,1.0000000125926225,0.5363178939863225,874.2665409001295,2,E_Rub_al_Khali_Desert,0,0.7969134232863058,-0.34209557485100206,0.7227621822405741,-0.019548679801570934,1.055221027338398,0.29442342311232667,83,-0.016626763484848706,0.9036372618836371,0.36883482396763934,83,-0.019548679801570934,1.055221027338398,0.29442342311232667,83,-0.023252603238610225,1.4422119479768143,0.15305128858588293,83,-2.0942644596257,600-1000,low_corr,N_midlat
E_Jordan_Northwest_Saudi_Arabia,asia,30.82559394836425,37.11274337768555,227305.75,0,30.82559394836425,5.356610421918045,sub_noise,1.0000000192938865,0.4072101252175693,1939.1300513656238,3,C_East_Mediterranean_Coast,0,0.7312727980497806,-0.6788710479913581,0.7637981294969614,0.02393665177984161,-1.6509822062506463,0.10256728369631667,83,0.02397812351169215,-1.6582289844962816,0.10109208192222596,83,0.02393665177984161,-1.6509822062506463,0.10256728369631667,83,0.02001515737852355,-1.4691010845273462,0.14563150867744326,83,-2.0146809542482997,>1000,low_corr,N_midlat
