model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
coupled_corr_top1,kalman_own_ridge,2,19188,82,0.009313614563589034,0.003238326766016339,0.017096221655591444,-2.6244777451782157,0.010369830168275246
coupled_corr_top1,kalman_corr_top1,2,19188,82,0.010275048546869558,0.0043082162744209705,0.01716091476197381,-3.1412753762280587,0.002349093006293808
kalman_corr_top1,kalman_own_ridge,3,18954,81,-0.0019152959541937076,-0.007173013582471827,0.0034703145367295787,0.7088003402042954,0.4805088186735179
kalman_corr_top1,kalman_ar1,3,18954,81,0.0024601190150861374,-0.0027563764730561603,0.007788676120570333,-0.9047157590646652,0.36833251702634734
kalman_pred_lag1_top1,kalman_own_ridge,3,18954,81,-0.0159581524117538,-0.023388979798388145,-0.007788915378436167,4.018704781334758,0.00013148539241893532
kalman_pred_lag1_top1,kalman_corr_top1,3,18954,81,-0.014016011647158155,-0.018909401917336827,-0.008737360530525392,4.967073137369166,3.7800087306046074e-06
fusion_corr_top1,kalman_ar1,3,18954,81,-0.008324495496585316,-0.013673789857024133,-0.002226893742640696,2.864135447921342,0.005338238619255071
fusion_corr_top1_mle,kalman_ar1,3,18954,81,-0.0281442168750905,-0.03864041308158679,-0.016807535551734084,5.477801321162217,4.840501510575356e-07
fusion_corr_top1,kalman_own_ridge,3,18954,81,-0.012747214001966212,-0.018559851372741222,-0.0063358792657645215,4.243671213942357,5.8737503721880434e-05
fusion_corr_top1,kalman_corr_top1,3,18954,81,-0.010811211378359387,-0.014949153129460074,-0.006324954780857967,4.943475164406115,4.147566165854342e-06
coupled_corr_top1,kalman_ar1,3,18954,81,0.0018716462673398215,-0.002026650963213922,0.0064564545961404,-0.8422120140641726,0.4021800829964174
coupled_corr_top1,kalman_own_ridge,3,18954,81,-0.002506349864376478,-0.006409574993500594,0.002335962493936671,1.1264950277508528,0.2633238405934326
coupled_corr_top1,kalman_corr_top1,3,18954,81,-0.0005899240310724974,-0.005267077083313959,0.004606598374683243,0.24270413170157765,0.8088557812210455
kalman_corr_top1,kalman_own_ridge,4,18720,80,-0.0035797507584078847,-0.007704229374856425,0.0007738506188429205,1.588049655272571,0.1162696588990281
kalman_corr_top1,kalman_ar1,4,18720,80,0.02009854055531013,0.015318438410278598,0.02618183104298604,-6.293957083030214,1.6132227218792625e-08
kalman_pred_lag1_top1,kalman_own_ridge,4,18720,80,-0.015742059308514245,-0.022979679229066567,-0.007450101500369895,3.744731022036171,0.0003414347301494204
kalman_pred_lag1_top1,kalman_corr_top1,4,18720,80,-0.012118925816224646,-0.017808734488287688,-0.006304088997888958,3.8789740671866757,0.0002159096596943246
fusion_corr_top1,kalman_ar1,4,18720,80,-0.0077760675346445485,-0.011629809430899784,-0.00299099046466713,3.403352407991232,0.0010478207953975862
fusion_corr_top1_mle,kalman_ar1,4,18720,80,-0.02381266797560455,-0.032203649777973645,-0.014997365124384354,5.756570308672875,1.5685887489831919e-07
fusion_corr_top1,kalman_own_ridge,4,18720,80,-0.03212791952555949,-0.03943454907875342,-0.025103071032480613,8.44916918969291,1.1590288441629527e-12
fusion_corr_top1,kalman_corr_top1,4,18720,80,-0.028446337967239277,-0.03498919625844054,-0.022525473636404333,8.289920325019581,2.3716829418533796e-12
coupled_corr_top1,kalman_ar1,4,18720,80,0.0013928517721258915,-0.0014300883445273415,0.004832682781024541,-0.7908732926264957,0.4313858557774474
coupled_corr_top1,kalman_own_ridge,4,18720,80,-0.022737442897606153,-0.028125721953112987,-0.017348549985734745,7.782527531951596,2.3096537303596088e-11
coupled_corr_top1,kalman_corr_top1,4,18720,80,-0.019089356999003604,-0.02513170162482134,-0.01376521074180593,6.2388614354619385,2.0428258767973405e-08
kalman_corr_top1,kalman_own_ridge,5,18486,79,-0.003488440503915946,-0.00716981507579118,2.7965577920695163e-05,1.8344585474933521,0.07039916827524195
kalman_corr_top1,kalman_ar1,5,18486,79,0.023161810488783963,0.01928601561372622,0.028281867220274745,-8.083275245314782,6.49044350972236e-12
kalman_pred_lag1_top1,kalman_own_ridge,5,18486,79,-0.014667845811930258,-0.021700968596136423,-0.007558408578594142,3.600521253222319,0.0005562295142167457
kalman_pred_lag1_top1,kalman_corr_top1,5,18486,79,-0.011140542189405078,-0.017064866072951924,-0.0057605330582922555,3.382753756289163,0.0011246507603000155
fusion_corr_top1,kalman_ar1,5,18486,79,-0.007709806329035507,-0.010880932193517805,-0.0038754804199271535,4.146010681945182,8.530807994157505e-05
fusion_corr_top1_mle,kalman_ar1,5,18486,79,-0.022246671867533596,-0.030624691799274788,-0.014469320980478177,5.514637537174278,4.378637942362667e-07
fusion_corr_top1,kalman_own_ridge,5,18486,79,-0.035202301559910776,-0.042230233661084686,-0.02924561057062501,9.073746602864716,7.763030940077096e-14
fusion_corr_top1,kalman_corr_top1,5,18486,79,-0.03160361372978948,-0.037404246175591814,-0.026292075008090433,9.650378635776113,5.945268267551053e-15
coupled_corr_top1,kalman_ar1,5,18486,79,0.00037135066750393353,-0.0018785118844293735,0.0031820396720856005,-0.2559846659945895,0.798636573929139
coupled_corr_top1,kalman_own_ridge,5,18486,79,-0.026900673184813817,-0.03196533164040004,-0.0224263783095942,9.042852013822623,8.911488213072531e-14
coupled_corr_top1,kalman_corr_top1,5,18486,79,-0.02333084441823874,-0.028053486091996767,-0.018824355510731503,8.600305483607034,6.441229609284879e-13
kalman_corr_top1,kalman_own_ridge,6,18252,78,-0.003207768600406169,-0.007584770761020454,0.0006112042652679877,1.428106630696656,0.15730476091781975
kalman_corr_top1,kalman_ar1,6,18252,78,0.012699451043801435,0.009583274998341357,0.016378470407525228,-6.970288116557161,9.461910902261211e-10
kalman_pred_lag1_top1,kalman_own_ridge,6,18252,78,-0.013712987128635667,-0.02088955134594539,-0.007651189053192519,3.398694843455075,0.0010749494221014369
kalman_pred_lag1_top1,kalman_corr_top1,6,18252,78,-0.010471627968835717,-0.01646998380817628,-0.005521666279131228,3.256754595502941,0.0016770640302470642
