model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_ridge_twin,dm_p,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
resmlp_corr_top2_s0,2,1.1910608603681803,19188,20.0,20.0,0.047619047619047616,-8.202251893777596,2.9993810304933794e-12,,,0.01708172887997439
resmlp_corr_top2_s1,2,1.1912274642052754,19188,20.0,20.0,0.047619047619047616,-6.550528763624919,4.899681464736565e-09,,,0.016806731331017066
ridge_own_era5,2,1.1929806049360119,19188,,,,,,-1.7052968564089228,0.09197152271630048,0.013910652131060575
ridge_corr_top1_era5,2,1.1935290417962932,19188,,,,,,-1.754265415230681,0.0831670760683294,0.013003794041849703
kalman_ar1,2,1.1953584266583883,19188,,,,,,,,0.009975833060832495
ridge_corr_top2_era5,2,1.197317556736093,19188,,,,,,-2.1604845396940724,0.033690124410389585,0.006727977823390963
ridge_own,2,1.201365758370325,19188,,,,,,,,0.0
ridge_corr_top1,2,1.2019491292838866,19188,,,,,,,,-0.0009714153228821409
ridge_corr_top2,2,1.2071180469213825,19188,,,,,,,,-0.009599174684492562
resmlp_own_era5_s1,3,1.253000427274983,18954,,,,-5.851975732878139,1.021078890997585e-07,,,0.027533163992326748
resmlp_own_era5_s2,3,1.2539891028287575,18954,,,,-5.136982234038607,1.9264532039830053e-06,,,0.025997915507661062
resmlp_corr_top2_era5_s0,3,1.2559465890651071,18954,20.0,18.0,0.14285714285714285,-5.084791536404345,2.3721811711905806e-06,-1.074069843363105,0.28602036530494707,0.022954693241663993
resmlp_corr_top1_s2,3,1.2568115465892977,18954,20.0,20.0,0.047619047619047616,-6.89023768610557,1.1522514939557504e-09,,,0.021608467687663446
resmlp_corr_top1_era5_s1,3,1.2569008974623113,18954,20.0,19.0,0.09523809523809523,-3.3729208771835224,0.0011484553209261605,-0.3118948272024641,0.755931880311116,0.021469348588557202
resmlp_corr_top2_s2,3,1.2577443727854603,18954,20.0,20.0,0.047619047619047616,-7.275921366046493,2.0835418916985272e-10,,,0.020155572139424427
resmlp_corr_top1_s1,3,1.2583118035958654,18954,20.0,20.0,0.047619047619047616,-6.859270479729612,1.3207616037872733e-09,,,0.019271259956426978
resmlp_corr_top2_era5_s1,3,1.2588360445194537,18954,20.0,2.0,0.9047619047619048,-4.946273218119144,4.102224903631795e-06,-0.40745575441854837,0.6847615581275105,0.01845390254192658
resmlp_corr_top2_era5_s2,3,1.258986987640761,18954,20.0,11.0,0.47619047619047616,-3.5695681996461777,0.0006082124986234759,0.25471637913029477,0.79959580126351,0.0182185001400601
resmlp_corr_top1_s0,3,1.2590662161343602,18954,20.0,20.0,0.047619047619047616,-6.688715814938972,2.7938474556881574e-09,,,0.018094928542319977
resmlp_corr_top2_s0,3,1.260090983081119,18954,20.0,20.0,0.047619047619047616,-6.265408730269311,1.756326233829007e-08,,,0.01649591280007856
resmlp_corr_top2_s1,3,1.2601613597132293,18954,20.0,20.0,0.047619047619047616,-5.531787752380837,3.8764345601293995e-07,,,0.016386051466068974
resmlp_corr_top1_era5_s0,3,1.260229115145041,18954,20.0,10.0,0.5238095238095238,-3.1289124173561023,0.002448273335090633,0.2865946221530711,0.7751636529746155,0.016280276155677065
resmlp_own_era5_s0,3,1.2634562494741841,18954,,,,-0.9515388266714724,0.3441969575022488,,,0.01123570080166536
resmlp_corr_top1_era5_s2,3,1.2668517189277957,18954,20.0,1.0,0.9523809523809523,-0.3850604457641759,0.7012144924072112,1.1391581039925658,0.2580367758279213,0.005914059816379602
ridge_own_era5,3,1.2685130189219525,18954,,,,,,-0.5151345908952136,0.6078794759416654,0.003305139163872317
