model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,skill_vs_kalman,skill_vs_own_ridge
kalman_corr_min300_top1,4,1.3227062103931277,18720,50.0,0.0,1.0,0.020240974405495327,-0.003433875143578513
kalman_corr_top1,4,1.3228023520395047,18720,50.0,0.0,1.0,0.02009854055531013,-0.0035797507584076627
kalman_corr_min500_top1,4,1.3233773621541522,18720,50.0,0.0,1.0,0.019246446947125073,-0.004452434315191045
kalman_geo_top2,4,1.3238238717023232,18720,50.0,0.0,1.0,0.018584519797543497,-0.005130356240293121
kalman_geo_top3,4,1.323981852943416,18720,50.0,0.0,1.0,0.018350267356225136,-0.005370269146235618
kalman_corr_min1000_top1,4,1.3284992571247658,18720,50.0,0.0,1.0,0.011640094052872474,-0.012242586751661566
kalman_corr_top2,4,1.3290313168700074,18720,50.0,0.0,1.0,0.010848265497632736,-0.013053549013684718
kalman_corr_top3,4,1.3335776776269384,18720,50.0,0.0,1.0,0.004069294487476949,-0.019996326750362448
kalman_ar1,4,1.3362993470513527,18720,,,,0.0,-0.024163951472361722
kalman_own_ridge,5,1.3764233749233163,18486,,,,0.026557606362975772,0.0
kalman_geo_top1,5,1.3782147696641367,18486,50.0,0.0,1.0,0.02402211562082368,-0.002604664393831335
kalman_corr_min300_top1,5,1.3786133475013858,18486,50.0,0.0,1.0,0.023457531040083635,-0.0031846520586695792
kalman_corr_top1,5,1.3788220703437757,18486,50.0,0.0,1.0,0.02316181048878352,-0.003488440503915946
kalman_corr_min500_top1,5,1.3793089705843722,18486,50.0,0.0,1.0,0.02247179146818923,-0.004197284730451223
kalman_geo_top2,5,1.3795922946012145,18486,50.0,0.0,1.0,0.022070161855923476,-0.00460987166409077
kalman_geo_top3,5,1.379712632105988,18486,50.0,0.0,1.0,0.021899550915972288,-0.004785137238167314
kalman_corr_min1000_top1,5,1.3839577490037973,18486,50.0,0.0,1.0,0.015871428331914794,-0.010977719997517843
kalman_corr_top2,5,1.3840960347896745,18486,50.0,0.0,1.0,0.015674749217719164,-0.01117976494181172
kalman_corr_top3,5,1.3888159382376533,18486,50.0,0.0,1.0,0.008950011121269141,-0.018087968386008235
kalman_ar1,5,1.395072928851735,18486,,,,0.0,-0.027282155098824035
kalman_own_ridge,6,1.4368516855847975,18252,,,,0.015856356122920134,0.0
kalman_geo_top1,6,1.438580212336284,18252,50.0,0.0,1.0,0.013487090244998057,-0.0024074390894690545
kalman_corr_min300_top1,6,1.4388407575599051,18252,50.0,0.0,1.0,0.013129717746350522,-0.002770569513437904
kalman_corr_top1,6,1.439154384292396,18252,50.0,0.0,1.0,0.012699451043801435,-0.003207768600406835
kalman_corr_min500_top1,6,1.439883711936582,18252,50.0,0.0,1.0,0.01169851876440442,-0.004224827731585723
kalman_geo_top2,6,1.4401043085860161,18252,50.0,0.0,1.0,0.011395671119002748,-0.004532554807085365
kalman_geo_top3,6,1.44024297635658,18252,50.0,0.0,1.0,0.01120527635728319,-0.004726017177039354
kalman_corr_top2,6,1.444147338357847,18252,50.0,0.0,1.0,0.005836952419463803,-0.010180834643187309
kalman_corr_min1000_top1,6,1.4442253459099346,18252,50.0,0.0,1.0,0.005729547422478332,-0.010289970131338366
kalman_ar1,6,1.4483805890107582,18252,,,,0.0,-0.016111831053903014
kalman_corr_top3,6,1.4486886039103912,18252,50.0,0.0,1.0,-0.000425368378225377,-0.016544052895574035
