source,challenger,reference,stratum,horizon,n_basins,n_rows,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,area_resolved,5,199,15721,1.6747216551019184,1.4118857447994908,2.032305286527955,-9.32230107268293,2.5608764509985334e-14
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,area_resolved,6,199,15522,2.1299845050628097,1.8269763364083689,2.563754884303308,-10.027005640019784,1.2839746680787567e-15
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,area_sub_resolution,1,35,2905,0.3851276289379091,0.0818133447207986,0.7206735529639783,-2.5543061995498144,0.012489706163497006
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,area_sub_resolution,2,35,2870,0.7208151654169659,0.28555901382176396,1.2325705882207596,-3.212624632107204,0.0018881194832304263
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,area_sub_resolution,3,35,2835,0.8249417597783859,0.35444728647663765,1.324890679060603,-3.069771453488887,0.0029251773016828416
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,area_sub_resolution,4,35,2800,0.7383064579580711,0.13552867459507484,1.4739877624187891,-2.1054882674560673,0.038425707009294
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,area_sub_resolution,5,35,2765,0.7609834026141793,0.002002454676132138,1.5951373209238686,-1.8580153686140535,0.06694016847637684
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,area_sub_resolution,6,35,2730,0.7678992227578285,0.39105582614165774,1.142872714848875,-3.4259065567516735,0.0009857728385072565
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_low,1,78,6474,0.4843634877540248,0.007184419777779007,0.9657360097250745,-2.34140307859718,0.021638682529283606
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_low,2,78,6396,1.1673095628872199,0.5601828310455809,1.8455647826036794,-3.925659653315351,0.0001806700457356721
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_low,3,78,6318,1.2037753527337824,0.6112241552099679,1.854197397371324,-3.421589336544096,0.0009833222065832384
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_low,4,78,6240,1.2257412882059948,0.6471230406965747,1.9000364912760814,-3.6241716245631483,0.0005110906942173875
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_low,5,78,6162,1.5913383474490894,0.8428815084655719,2.384161070850056,-3.5614520276804846,0.0006323579218510228
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_low,6,78,6084,1.729994175092664,1.2263124796481395,2.41924567903863,-4.734560525002856,9.802541417732293e-06
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_mid,1,78,6474,0.7403571720403623,0.347499099248576,1.1742449550664098,-3.602854980776195,0.000538381911059954
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_mid,2,78,6396,1.406220577950923,0.9276223709967211,2.025291710313954,-5.08993027871114,2.279837177759687e-06
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_mid,3,78,6318,1.4554453963097402,0.9974255303805708,2.042854492739752,-4.746342308777228,8.930880636224946e-06
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_mid,4,78,6240,1.2917064138502021,0.6318079131669726,1.9893180868102551,-3.5525803114379717,0.0006469814191087631
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_mid,5,78,6162,1.6379689163863898,1.2223345293921073,2.3087637788977537,-5.344076039114375,8.756179250793412e-07
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_mid,6,78,6084,1.9230004479739882,1.3730980618234778,2.600905839748769,-5.753421211180514,1.6868442781009796e-07
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_high,1,78,6474,0.7222978973175254,0.46292609409515323,1.0119392145007071,-5.3651973761466865,7.333054530070969e-07
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_high,2,78,6396,1.431743655937301,1.0203691037154354,1.9409737011792327,-6.59412732477164,4.048036648932566e-09
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_high,3,78,6318,1.2371221312117986,0.8981702360398202,1.643594026292601,-6.31099710158555,1.443178990681986e-08
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_high,4,78,6240,1.2548010998928882,0.8427005025799872,1.7961964504405876,-5.025964041331578,3.0530641670962003e-06
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_high,5,78,6162,1.332720119272346,1.0165862517440991,1.7499991694038164,-7.211372432935964,3.112087653152892e-10
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,cont_tercile_high,6,78,6084,2.0347926038230435,1.6519979518751098,2.5297063978351972,-8.891249969266063,1.9432603704270927e-13
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_high,1,57,4731,0.9231695344041002,0.6238132215046471,1.2491235854489575,-5.499566686723979,4.2159218809897125e-07
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_high,2,57,4674,1.5444946540646542,1.0598946592383565,2.114758232214043,-6.005237559835008,5.1717674042263565e-08
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_high,3,57,4617,1.3438385005068332,0.920559102237982,1.8061120565570168,-5.732924395411142,1.6822184163527494e-07
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_high,4,57,4560,1.4901794862877793,0.9946069603985327,2.1180944541488977,-5.074342992383826,2.5214493262506096e-06
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_high,5,57,4503,1.708261565683411,1.345363507719644,2.2556319734447032,-7.775551292868398,2.5575321864126742e-11
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_high,6,57,4446,2.418879607025315,1.8918091743259042,3.106907005802783,-8.343309506826197,2.2163806028002284e-12
phase8,lstmres_corr_top1_s0,lstm_own_era5_s0,resolved_x_cont_lowmid,1,142,11786,0.5993449097589587,0.16123638583658312,1.0437510348656012,-3.188334878745908,0.0020265184004963563
