name,fold,n_train_obs,n_fo_train,rho,q,r_grace,r_fo,r_ratio,r_fo_fallback,r_grace_at_boundary,r_fo_at_boundary,two_converged,rho_one,q_one,r_one,r_one_at_boundary,one_converged,loglik_one,loglik_two,lr_stat,lr_p,rho_two_raw,q_two_raw,r_grace_raw,r_fo_raw,r_ratio_raw,loglik_two_raw,lr_stat_raw,lr_p_raw
C_Ellesmere_Island,f1,173,10,0.9447068285970468,0.1301347251642512,0.004787760014451003,0.004787760014451003,1.0,True,False,True,True,0.9447068285970468,0.1301347251642512,0.004787760014451003,False,True,-82.8415284244467,-82.8415284244467,0.0,1.0,0.9514981334654704,0.1167022857011992,0.013303093657985444,7.442282603900157e-08,5.594399915716432e-06,-82.74596936239128,0.1911181241108295,0.6619876373692715
C_Great_Britain,f1,173,10,0.3915347893499676,0.5270049208827297,0.3675531867121408,0.3675531867121408,1.0,True,False,False,True,0.3915347893499676,0.5270049208827297,0.3675531867121408,False,True,-239.62888036473043,-239.62888036473043,0.0,1.0,0.4305060773075051,0.45939651747186216,0.4515087600749761,2.1906074215249435e-06,4.8517495455928215e-06,-238.50696326675478,2.243834195951308,0.13414797675833784
C_Greater_Dniester_Basin,f1,173,10,0.8791902165754287,0.19663963251471425,0.11687033923846586,0.11687033923846586,1.0,True,False,False,True,0.8791902165754287,0.19663963251471425,0.11687033923846586,False,True,-165.13162919830387,-165.13162919830387,0.0,1.0,0.8786395747514172,0.1992219468509251,0.10823344534620116,0.227103484696198,2.098274558014604,-164.69021499639143,0.8828284038248739,0.34742817097498757
C_Gulf_of_Darien_Coast,f1,173,10,0.8620625387822608,0.2095339255340108,0.16602461974312224,0.16602461974312224,1.0,True,False,False,True,0.8620625387822608,0.2095339255340108,0.16602461974312224,False,True,-180.80828128641645,-180.80828128641645,0.0,1.0,0.8648502360372821,0.20473776880900896,0.16271863459876895,0.29429997707819433,1.8086433542407616,-180.54760486839794,0.5213528360370105,0.47026517051135786
C_Gulf_of_Guinea_Coast,f1,173,10,0.8257903743578808,0.2819628527601283,0.11323586483666394,0.11323586483666394,1.0,True,False,False,True,0.8257903743578808,0.2819628527601283,0.11323586483666394,False,True,-181.12379488663032,-181.12379488663032,0.0,1.0,0.8359879121918785,0.2598376135159504,0.12364243786479674,0.2368662732758032,1.9157360317888341,-180.97601678292853,0.29555620740359245,0.5866817854915449
C_Gydan_Bay_Coast,f1,173,10,0.8795140469498677,0.09743981570016835,0.5722021793401451,0.5722021793401451,1.0,True,False,False,True,0.8795140469498677,0.09743981570016835,0.5722021793401451,False,True,-226.70048596059735,-226.70048596059735,0.0,1.0,0.8810764117571628,0.09625801336488747,0.5797310344794613,0.46475272443736526,0.8016695619110081,-226.62862396712532,0.1437239869440532,0.7046065774864166
C_Hainan,f1,173,10,0.8355731638319355,0.16024333668792282,0.4653383106271465,0.4653383106271465,1.0,True,False,False,True,0.8355731638319355,0.16024333668792282,0.4653383106271465,False,True,-222.062956383192,-222.062956383192,0.0,1.0,0.7788701518254985,0.2139924463604306,0.28155623402515245,2.8630862253575136,10.16879002970946,-209.43482223841096,25.25626828956206,5.019616945803029e-07
C_Halmahera_Islands,f1,173,10,0.8474721250163693,0.22018275691653016,0.20241145498496174,0.20241145498496174,1.0,True,False,False,True,0.8474721250163693,0.22018275691653016,0.20241145498496174,False,True,-190.56280643787198,-190.56280643787198,0.0,1.0,0.8528819012027579,0.20810460323178903,0.22138990880244042,0.03635128179571476,0.1641957485431425,-189.4195136478544,2.2865855800351937,0.13049672022918182
C_Hispaniola,f1,173,10,0.35100711279767066,0.8787106843389194,1.983372872844307e-07,1.983372872844307e-07,1.0,True,True,True,True,0.35100711279767066,0.8787106843389194,1.983372872844307e-07,True,True,-235.44388982756223,-235.44388982756223,0.0,1.0,0.35097029144497,0.8786920593106214,6.990447057783801e-08,8.552509560798605e-10,0.012234567389041965,-235.44388929975406,1.0556163374531025e-06,0.9991802280829465
C_Hokkaido,f1,173,10,0.6930496732547647,0.24952010847584327,0.5276131079160384,0.5276131079160384,1.0,True,False,False,True,0.6930496732547647,0.24952010847584327,0.5276131079160384,False,True,-235.26639648192122,-235.26639648192122,0.0,1.0,0.6199457729340706,0.35539991764793627,0.46027296739463,0.09729635805209247,0.21138838242627506,-234.70242772603387,1.1279375117746895,0.2882156992581786
C_Hub_Porali_Basin,f1,173,10,0.7192142902680931,0.4576351329299153,0.04971919147627756,0.04971919147627756,1.0,True,False,False,True,0.7192142902680931,0.4576351329299153,0.04971919147627756,False,True,-194.68185208856826,-194.68185208856826,0.0,1.0,0.7140689600575372,0.458955198148973,0.03739596585125498,0.263399202957673,7.04351918614327,-194.0918958489225,1.179912479291545,0.27737381374980496
C_Iberian_Atlantic_Coast,f1,173,10,0.8376338271516246,0.27203625006936116,0.07556410121943548,0.07556410121943548,1.0,True,False,False,True,0.8376338271516246,0.27203625006936116,0.07556410121943548,False,True,-168.81526439247196,-168.81526439247196,0.0,1.0,0.8313809382168066,0.28203367004321933,0.06014942638087334,0.21509744828191826,3.576051530731076,-168.0468239015752,1.5368809817935016,0.21508266247998875
C_Iceland,f1,173,10,0.9305314727283778,0.11601369253920636,0.14156823125232096,0.14156823125232096,1.0,True,False,False,True,0.9305314727283778,0.11601369253920636,0.14156823125232096,False,True,-152.9032052096292,-152.9032052096292,0.0,1.0,0.932396315869305,0.11234536895290297,0.14758802908433016,0.09353098456377491,0.6337301551085308,-152.72312313322186,0.3601641528146615,0.5484150833701074
C_India_West_Coast,f1,173,10,0.8916682366938874,0.17675108214984522,0.1717456992756728,0.1717456992756728,1.0,True,False,True,True,0.8916682366938874,0.17675108214984522,0.1717456992756728,False,True,-176.38165729578546,-176.38165729578546,0.0,1.0,0.896394312081944,0.16965792723710194,0.18681050309968028,9.169254689401988e-08,4.908318610174376e-07,-174.54359574519057,3.6761231011897735,0.05519705490662892
C_Indian_Ocean_Africa_Coast,f1,173,10,0.7242215724762195,0.48690878457235454,5.372993124790182e-09,5.372993124790182e-09,1.0,True,True,True,True,0.7242215724762195,0.48690878457235454,5.372993124790182e-09,True,True,-187.96621066270424,-187.96621066270424,0.0,1.0,0.7242233205504051,0.4868959784494619,9.264234831282636e-08,9.100662403391606e-08,0.9823436656270097,-187.9662126268533,-3.92829809925388e-06,1.0
C_Ireland,f1,173,10,0.36401896941208756,0.4429167465999773,0.4848082650487233,0.4848082650487233,1.0,True,False,False,True,0.36401896941208756,0.4429167465999773,0.4848082650487233,False,True,-242.2302186443967,-242.2302186443967,0.0,1.0,0.2778053345749411,0.6412274468070259,0.3210072315425859,2.4123923689116665e-05,7.515071723833206e-05,-241.89553478137603,0.6693677260413438,0.4132721333690733
C_Irrawaddy_Sittang_Salween_Basin,f1,173,10,0.7139378938525837,0.41373110659269985,0.15746158446932698,0.15746158446932698,1.0,True,False,False,True,0.7139378938525837,0.41373110659269985,0.15746158446932698,False,True,-208.66354586087206,-208.66354586087206,0.0,1.0,0.7525977511915556,0.32670233505844165,0.2059463091584188,0.5975253097368468,2.901364497273977,-208.11447407151152,1.0981435787210785,0.29467387240656606
C_Jamaica,f1,173,10,0.2628296994478374,0.9413859773353015,0.00030093059410402594,0.00030093059410402594,1.0,True,False,False,True,0.2628296994478374,0.9413859773353015,0.00030093059410402594,False,True,-240.91291387970935,-240.91291387970935,0.0,1.0,0.27879818075775903,0.8704515044912126,0.07034747864910199,4.8446881281128575e-06,6.886797112201408e-05,-240.8942943908182,0.03723897778229457,0.8469793037538322
C_Japan,f1,173,10,0.8794928399596411,0.19393412382484074,0.15754481401295714,0.15754481401295714,1.0,True,False,False,True,0.8794928399596411,0.19393412382484074,0.15754481401295714,False,True,-176.05752193246812,-176.05752193246812,0.0,1.0,0.8795772070825033,0.193720124172325,0.16091966161497007,0.1019852353485377,0.6337649130319213,-175.95712844904043,0.20078696685538944,0.6540863775288621
C_Java,f1,173,10,0.6482283897122564,0.5779947519231288,5.392525837525224e-08,5.392525837525224e-08,1.0,True,True,False,True,0.6482283897122564,0.5779947519231288,5.392525837525224e-08,True,True,-201.88074842450584,-201.88074842450584,0.0,1.0,0.6484869996822081,0.5774733491635752,4.8411658623547196e-08,0.0076256792960576174,157517.41445909734,-201.87975982475146,0.0019771995087580763,0.9645331831037256
C_Kamchatka_Peninsula,f1,173,10,0.6714115396282835,0.5968006990965096,4.615709545328283e-07,4.615709545328283e-07,1.0,True,False,False,True,0.6714115396282835,0.5968006990965096,4.615709545328283e-07,True,True,-204.91978891087075,-204.91978891087075,0.0,1.0,0.6736349483887388,0.5729471282307199,2.0692351965255422e-06,0.3474995758716457,167936.23869105507,-204.061084437076,1.7174089475894903,0.19002691221272994
C_La_Plata_Delta,f1,173,10,0.9458448792676923,0.12043361701824987,0.10083014086959306,0.10083014086959306,1.0,True,False,False,True,0.9458448792676923,0.12043361701824987,0.10083014086959306,False,True,-139.98148959643797,-139.98148959643797,0.0,1.0,0.9453571888138402,0.12137721947756618,0.10057505193517323,0.09171213423366938,0.9118775727084233,-139.9784244075603,0.006130377755312111,0.9375920194422038
C_Labrador_Sea_Coast,f1,173,10,0.9746801995758875,0.052367382277811,0.39673225792908434,0.39673225792908434,1.0,True,False,False,True,0.9746801995758875,0.052367382277811,0.39673225792908434,False,True,-197.58128836201374,-197.58128836201374,0.0,1.0,0.9727950939966039,0.04877736338076917,0.3898404820115649,0.6709485773765685,1.7210849266204846,-197.1669613593423,0.8286540053428553,0.362662026340864
C_Madagascar,f1,173,10,0.5764769040207308,0.6658608162996268,7.473268361247375e-07,7.473268361247375e-07,1.0,True,True,False,True,0.5764769040207308,0.6658608162996268,7.473268361247375e-07,True,True,-213.34489548235723,-213.34489548235723,0.0,1.0,0.5775391736577183,0.6608134146752445,1.0739453283511298e-07,0.07265320600793067,676507.4914891429,-213.30228109869287,0.0852287673287151,0.7703327564332048
