name,dm_stat,p,a_better,bh_threshold,significant,model,vs,horizon
E_Plateau_of_Tibet,2.0097745175235397,0.04903519433288957,False,0.03779904306220096,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Don_River,1.9806902862449345,0.05229418952730197,False,0.038277511961722493,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Banks_Island,-1.9741968454685448,0.053046657554735345,True,0.03875598086124402,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Hokkaido,-1.9689264301201554,0.053664202671736064,True,0.03923444976076555,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Lena_River,1.9420462902179925,0.0569103935489232,False,0.03971291866028709,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Ziya_He_Interior_Coast,1.938744920462684,0.05732040964745306,False,0.04019138755980861,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Capim_River_Delta,1.9018735226772432,0.062073384271619965,False,0.04066985645933015,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Japan,1.8937788131592035,0.06316048917012806,False,0.04114832535885168,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Congo_River,1.8839692295753288,0.06449948476890673,False,0.041626794258373206,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Yukon_River,1.860104537250179,0.06785761423817518,False,0.042105263157894736,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Somerset_Island,1.859535089535816,0.06793951312370777,False,0.04258373205741627,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Amazon_River_Delta,1.857989236183306,0.06816226068214691,False,0.0430622009569378,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Colorado_River_of_the_West_North_America,1.8553220263374102,0.0685480363888638,False,0.04354066985645933,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_New_Siberian_Islands,-1.8518787962597496,0.06904877281944675,True,0.04401913875598087,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Bight_of_Benin_Coast,1.845024050279978,0.07005481065633216,False,0.0444976076555024,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_South_Gulf_of_Oman_West_Arabian_Sea_Coast,1.832760689871062,0.07188542257016513,False,0.044976076555023926,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Sulawesi,1.8228297414907797,0.07339716032507664,False,0.045454545454545456,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Kamchatka_Peninsula,1.7844349849051593,0.07949480959645477,False,0.04593301435406699,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Yenisey_River,1.7702074627592268,0.08185911550399683,False,0.046411483253588515,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Beaufort_Sea_Coast,-1.7222855074465537,0.09025669883888891,True,0.04688995215311005,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_South_Hudson_Strait_Ungava_Bay_Coast,1.7159451629302356,0.09141924036966004,False,0.04736842105263158,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_South_Africa_West_Coast,-1.6974708858395147,0.09487715948951618,True,0.04784688995215311,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Mekong_River,1.6961244760022351,0.09513332062488945,False,0.048325358851674646,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Chao_Phraya_River_Gulf_of_Thailand_Coast,1.6828914552221044,0.09768131930828815,False,0.048803827751196176,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_South_Baltic_Coast,1.678333986062211,0.09857169830879882,False,0.049282296650717705,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Amur_River,1.656294133741006,0.10297177826484656,False,0.049760765550239235,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Thar_Desert_Sabarmati_River_Gulf_of_Cambay_Luni_Delta,1.6476273955214846,0.1047453404122087,False,0.050239234449760764,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Uruguay_South_Brazil_Coast,1.6405024379394346,0.10622195229604163,False,0.0507177033492823,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Melville_Prince_Patrick_Islands,1.6229536368902613,0.10993110975045454,False,0.05119617224880383,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Borneo,1.5952406854032257,0.11600167662550223,False,0.051674641148325366,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_East_Mediterranean_Coast,1.5578723519049398,0.12461188003496727,False,0.05215311004784689,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Amazon_River,-1.5511803381608475,0.12620649292118885,True,0.05263157894736842,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_India_West_Coast,1.5344994015279267,0.1302523055414959,False,0.053110047846889955,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Shelikhov_Gulf_Sea_of_Okhotsk_Coast,1.5329379962837844,0.1306362354860899,False,0.05358851674641149,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_North_Brazil_South_Atlantic_Coast,1.5205634965598567,0.13371089514431367,False,0.05406698564593302,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Tasmania,1.4726222893892311,0.14616779668869806,False,0.05454545454545454,False,li_lstm_nonseas,ridge_own_era5_flat12,1
E_Tarim_He_Lop_Nur,-1.4517966232009762,0.1518552690733292,True,0.05502392344497608,False,li_lstm_nonseas,ridge_own_era5_flat12,1
E_Central_Iran,1.4341345589112082,0.15681294931706355,False,0.05550239234449761,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_North_St_Lawrence_Seaway_Coast,1.4094104239420686,0.16396317766229454,False,0.055980861244019145,False,li_lstm_nonseas,ridge_own_era5_flat12,1
E_Australia_Northwest_Plateau,1.3943625629980956,0.1684368137669844,False,0.05645933014354067,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_South_Gulf_of_Aden_Coast,-1.3896283755767007,0.16986352061042526,True,0.056937799043062204,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_North_Gulf_of_Oman_Coast,1.3803260283247676,0.17269393857089554,False,0.05741626794258373,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_North_Chile_South_Pacific_Coast,1.3762044225696815,0.17395952141575544,False,0.05789473684210527,False,li_lstm_nonseas,ridge_own_era5_flat12,1
R_Shebelli_Juba_Rivers,1.3432212094085054,0.18434450441974723,False,0.0583732057416268,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Ellef_Ringnes_Bathurst_Devon_Islands,1.3120383560427464,0.19458920684606343,False,0.05885167464114832,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Victoria_Island,1.2593539548620656,0.2128619958587533,False,0.05933014354066986,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_East_China_Coast,1.2570735398458268,0.21368070390574415,False,0.059808612440191394,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_South_Black_Sea_Coast,1.2527524716686138,0.2152384278426098,False,0.060287081339712924,False,li_lstm_nonseas,ridge_own_era5_flat12,1
C_Yamal_Peninsula,1.2485161334221822,0.21677373767672856,False,0.060765550239234446,False,li_lstm_nonseas,ridge_own_era5_flat12,1
E_Libyian_Desert,-1.2276260217618253,0.22446288700526768,True,0.06124401913875598,False,li_lstm_nonseas,ridge_own_era5_flat12,1
